p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.4702467594948117e-4,0.4873769934772263,0.113,0.065,1,IEG-High Microglia,Puf60
1.5590941961403235e-4,0.39726955019514365,0.158,0.101,1,IEG-High Microglia,Kmt2d
1.5639366611289353e-4,0.5175295363544969,0.162,0.105,1,IEG-High Microglia,Evi2a
1.5794381495572827e-4,0.2514557734694616,0.314,0.224,1,IEG-High Microglia,St6gal1
1.7594532952653087e-4,0.3100695656449889,0.126,0.075,1,IEG-High Microglia,Rpl22l1
1.796422199201896e-4,0.34938557852067403,0.236,0.163,1,IEG-High Microglia,Ipo11
1.86317643153292e-4,0.40176570396318967,0.152,0.095,1,IEG-High Microglia,Ttll3
1.954880059505856e-4,0.4847029338621167,0.104,0.06,1,IEG-High Microglia,Ccnyl1
1.9733131076880937e-4,0.7475071627142895,0.132,0.082,1,IEG-High Microglia,Scpep1
1.9742374782081638e-4,0.429686509665966,0.152,0.095,1,IEG-High Microglia,Eif4ebp2
2.1263492690378377e-4,0.4223458725615676,0.171,0.113,1,IEG-High Microglia,Hnrnph2
2.280634864977207e-4,0.4489357848393264,0.169,0.111,1,IEG-High Microglia,Atp6v0d1
2.3895698460613178e-4,0.3184915914431077,0.26,0.185,1,IEG-High Microglia,Abcb1b
2.444445299778352e-4,0.29963719208911405,0.273,0.194,1,IEG-High Microglia,Cops4
2.5096019543150995e-4,0.41072496314133,0.175,0.117,1,IEG-High Microglia,Mid1
2.542119054629799e-4,0.6285164547510371,0.126,0.078,1,IEG-High Microglia,Mex3c
2.776106421174099e-4,0.45832403477989525,0.165,0.108,1,IEG-High Microglia,Nol4l
2.9081940595242336e-4,0.37328519488287704,0.149,0.094,1,IEG-High Microglia,1110059E24Rik
2.9709475191315226e-4,0.3717262557929859,0.162,0.104,1,IEG-High Microglia,Trak2
2.976123214654033e-4,0.3184854726139049,0.232,0.163,1,IEG-High Microglia,Ust
3.11923057901369e-4,0.26319158352622085,0.177,0.117,1,IEG-High Microglia,Selenok
3.20076012849762e-4,0.36565993639681227,0.195,0.132,1,IEG-High Microglia,Zc3h12c
3.3369649521806856e-4,0.29645319274940696,0.266,0.193,1,IEG-High Microglia,Zfp326
3.779463781766424e-4,0.2681086392730581,0.284,0.209,1,IEG-High Microglia,Avl9
3.8168937204095875e-4,0.512352241997735,0.227,0.162,1,IEG-High Microglia,Tsc22d3
3.8489002311754204e-4,0.3683063304785672,0.11,0.066,1,IEG-High Microglia,Tsen34
3.986385640893575e-4,0.3686156800998605,0.225,0.159,1,IEG-High Microglia,Fmr1
4.101129569180121e-4,0.3133595261742642,0.199,0.136,1,IEG-High Microglia,Adipor1
4.276273690001412e-4,0.45459110901191735,0.147,0.095,1,IEG-High Microglia,Tal1
4.343000159992238e-4,0.3888168898662988,0.154,0.1,1,IEG-High Microglia,Arhgef7
4.506228104719151e-4,0.25164427323489047,0.773,0.698,1,IEG-High Microglia,Ctsb
4.535325879539466e-4,0.3979662934433865,0.167,0.11,1,IEG-High Microglia,C5ar1
4.650134636873094e-4,0.43885596708443275,0.106,0.063,1,IEG-High Microglia,Neu1
