"log2foldchange","p.value","FDR","gene"
0.167599948496069,0.897899464772939,0.942312664762191,"Olfr552"
0.180266945663771,0.282034920376578,0.498132729866733,"Olfr553"
0.48062584090642,0.307494008634148,0.520141971049476,"Olfr554"
0.827663904457943,0.0396849892312602,0.249890762740988,"Olfr555"
0.321928094887362,0.136106800982732,0.361924065700986,"Olfr556"
0.558628352907693,0.265562184963435,0.484955114618629,"Olfr557"
0.227068908545921,0.0933814468013529,0.314984866686145,"Olfr558"
0.487351704094734,0.0158739073406568,0.21258561259533,"Olfr559"
0.625708843064465,0.00120060076152186,0.174888157011517,"Olfr56"
0.276124405274238,0.58786197213194,0.734625058701502,"Olfr560"
0.643856189774725,0.127027422099411,0.352675126339218,"Olfr561"
0.192645077942396,0.581262171838736,0.729987761827295,"Olfr564"
0.37679002992188,0.364074565325754,0.567471479082739,"Olfr566"
0.422233000683048,0.246665597288841,0.470035142116055,"Olfr568"
0.485426827170242,0.0828929330868197,0.304465225272541,"Olfr569"
0.199308808223407,0.666258979738434,0.791941273879875,"Olfr57"
0.572471556537959,0.051642649947171,0.266586650697033,"Olfr570"
0.630050390249694,0.00502074129812799,0.184799733310565,"Olfr571"
0.499715214102646,0.407583617537133,0.602234209716969,"Olfr572"
0.419225296242277,0.255083795655108,0.47731371661673,"Olfr574"
0.196397212803503,0.257062636875007,0.478949436358815,"Olfr575"
0.646200130243024,0.0727001634193744,0.295027579218856,"Olfr576"
0.176497655365798,0.0924028345871058,0.31401862172758,"Olfr577"
0.473931188332412,0.218280751476734,0.443439379469142,"Olfr578"
0.240134003723715,0.627299490486736,0.764711598723434,"Olfr58"
0.00507098954742213,0.615956155231463,0.756194143341357,"Olfr582"
0.299560281858908,0.0350985366167831,0.240603361244582,"Olfr583"
0.275133883408421,0.0246873734707599,0.225648224222596,"Olfr586"
0.289013472414627,0.430967921231308,0.619588163026243,"Olfr589"
0.359895945086383,0.732099423340561,0.836803852922243,"Olfr59"
0.604862058158861,0.0527137432717787,0.267821772255344,"Olfr591"
0.614975069787596,0.0097907952447194,0.196532495778569,"Olfr592"
0.285707906974609,0.930499601202361,0.96252490302276,"Olfr593"
0.43558487668293,0.0503094107123327,0.264642760445515,"Olfr594"
0.66432029233444,0.164456174950137,0.390152942018943,"Olfr596"
0.34617564113404,0.0208821136364122,0.219127003723777,"Olfr597"
0.260527550223219,0.258953321293429,0.479996086377232,"Olfr599"
0.716207033999409,0.123526056943374,0.348991348349287,"Olfr6"
0.251538766995964,0.977088664141259,0.988331351244778,"Olfr60"
0.204358498506186,0.906948121523619,0.949314601279408,"Olfr600"
0.309955453221286,0.91922659955844,0.955616819382211,"Olfr601"
0.220841969773048,0.643240300015131,0.775993404780447,"Olfr605"
0.428843298803874,0.144306992936215,0.370597734850472,"Olfr606"
0.276840205358824,0.182241824261479,0.407289665909947,"Olfr607"
0.125127387453655,0.637217382544718,0.771640138542385,"Olfr608"
0.476650689686005,0.00301196665105917,0.174888157011517,"Olfr609"
0.622930350920177,0.0162372726735064,0.213050200292349,"Olfr61"
0.505374235983293,0.988504436289595,0.995237431762233,"Olfr610"
0.37763752747365,0.112601947475146,0.335682642057468,"Olfr611"
0.523067966995214,0.112210388341131,0.335042412182315,"Olfr612"
0.490527698863108,0.460089209802351,0.640601297766236,"Olfr613"
0.213403638109193,0.300772479173786,0.513471327227155,"Olfr615"
0.661016740932908,0.0312948723251222,0.234263709612553,"Olfr616"
0.505890929729958,0.323276946359378,0.533370890422837,"Olfr617"
0.382590876793987,0.198991340222578,0.425758215734986,"Olfr618"
0.545968369105293,0.349588714817785,0.556232259301182,"Olfr619"
0.493040011280117,0.0839290646861109,0.305449770148431,"Olfr62"
0.698491446351571,0.00051136955250312,0.174888157011517,"Olfr620"
0.275385508950332,0.142286174662949,0.368920199846966,"Olfr622"
0.479469371873843,0.586122197918414,0.733645053602169,"Olfr624"
0.742771215847412,0.00843823418389794,0.192606480311732,"Olfr629"
0.355480654598389,0.0577091771670182,0.273696981375153,"Olfr63"
0.57650092197296,0.150187192164723,0.376118019068147,"Olfr630"
0.344295907915817,0.104538092390677,0.327595108601359,"Olfr631"
-0.150376605064332,0.17899956299641,0.404710530811455,"Olfr632"
0.478653598574816,0.0968509064406788,0.31971850411259,"Olfr633"
