Gene,Ding_log2FC,Ding_pct_HSV,Ding_pct_Mock,Ding_padj,CurrentStudy_log2FC,CurrentStudy_pct_HSV,CurrentStudy_pct_Mock,CurrentStudy_padj,Homeostatic Microglia,Transiently Activated Microglia,IFN-Responsive Microglia,Primed Microglia,Mitochondrial-Activated Microglia,IEG-High Microglia
Ifi204,0.772863726258137,0.27569444444444446,0.0020833333333333333,0,2.669466503767531,0.153,0.028,8.964964000082174e-50,0.34865670264500986,0.3043659290542756,4.540056405016766,0.9439579178251424,0.4752465969411034,0.35578088950307185
Lgals3,0.403232394770957,0.07083333333333333,6.944444444444445e-4,2.03751444315591e-77,2.641062057509963,0.022,0.004,3.825727544947059e-4,0.10292166375926036,0.060207467378429226,0.1732272512748979,0.25170355293617047,0.055863863887457094,0.010497100700786443
H2-Aa,0.988324897389257,0.22361111111111112,0.004,0,2.552695881235773,0.082,0.021,3.8742783687587897e-19,0.32358322640561993,0.2555215021024263,0.910976105677722,0.9725741262996755,0.6262554335706891,0.3030586206354917
Irf7,0.463823687353459,0.014583333333333334,0.008,2.16799482179567e-225,2.490224654755593,0.023,0.005,0.002466704826248761,0.0613972383740027,0.0332567178179655,0.2830711582147777,0.44735209146494237,0.0930553353717754,0.046361752840908224
Slfn2,0.335953447155289,0.15208333333333332,0.062,1.73597458040922e-115,2.47056618523259,0.078,0.019,1.232476631375344e-18,0.2485320786326532,0.20306569940811586,0.8741353918766861,0.4862320518895532,0.3734726001845346,0.2620541098892342
Cd74,19371892316326,0.37916666666666665,0.061,0,2.453150019443095,0.208,0.063,1.804251342688353e-51,1.0154122165862296,0.7712215182580586,4.0066169930785405,2.930635246262234,1.8768092640288008,1.23324419292294
Fcgr4,109656407215129,0.3277777777777778,0.037,0,2.4303607647651293,0.051,0.01,1.4854064440499766e-12,0.12843327580752345,0.12755696327024793,0.8270152831912422,0.33679124680851275,0.11918452235896612,0.08299236833606446
Stat1,0.552287737386003,0.22083333333333333,0.071,2.06766732116452e-238,2.4066648774194235,0.359,0.111,4.24678696133486e-107,1.6587770698410216,1.481122473046776,8.869440611967512,2.8448850654804945,2.0666360135666597,0.9636274147441679
Ifit2,0.33906367736504,0.10208333333333333,0.007,5.38759246302776e-142,2.3287856879231197,0.028,0.005,1.3215764107070209e-5,0.056632824539181094,0.057938102720247284,0.7129704883461296,0.10656846285287862,0.0811119576956398,0.03482506638928262
Phf11b,0.452547823719096,0.17291666666666666,0.037,1.18450695999828e-207,2.2469802957716634,0.043,0.011,2.765634567012999e-8,0.1402144196905867,0.09736599936305797,0.5581370587251957,0.2666904930324965,0.12532240981194293,0.12119413017494256
Igtp,0.351858421699136,0.15208333333333332,0.054,3.89366844914716e-132,2.1648308607803286,0.1,0.027,5.679356438074453e-23,0.2982600040866166,0.2097673667520073,1.4935612073233278,0.6411565403458782,0.39081299989881624,0.3135523178802753
Lgals3bp,0.889628441811633,0.32708333333333334,0.10208333333333333,0,2.0629681379972773,0.152,0.041,2.0326075013868465e-37,0.5685743003308028,0.5138881635900061,1.4192473067958207,0.9390747261565129,0.8095868623953962,0.34295443744489895
H2-Eb1,0.876216292431921,0.22083333333333333,0.006,0,1.9645406280505784,0.064,0.02,3.4724899985111914e-11,0.2776655743169569,0.1616372489675062,0.6597979832847444,0.7098965051875017,0.3792243972083135,0.18035583041584224
Sdc3,0.359799210216975,0.16180555555555556,0.055,4.34902369256207e-145,1.9569083566505914,0.051,0.014,2.7413715921236504e-9,0.1482970225377937,0.09822820252293014,0.6930333075510519,0.27040963671545437,0.2947550174457989,0.13832431640615483
Irf1,0.257257606524394,0.11736111111111111,0.048,1.57204137054975e-80,1.8421011344231986,0.155,0.055,3.2691479522698836e-29,0.5093488132703119,0.4989872840923393,2.307764646079689,1.0515935141231043,0.8522925396336987,0.9605469303146387
Irgm1,0.264549816764028,0.11180555555555556,0.031,5.39341879395163e-102,1.7325223784010826,0.127,0.046,1.4615309920338698e-22,0.41666567057655096,0.3865734605956332,1.8904937252748266,0.512969952945101,0.696489776657599,0.3143827720893403
Tap1,0.289050378019052,0.1361111111111111,0.051,1.22529358852455e-106,1.6966246396651143,0.119,0.041,1.5487139369396234e-21,0.40736962040116687,0.36092501553902206,1.3887088974908253,0.5056482352243475,0.7179462585373396,0.2734633262635175
Rnf213,0.330852292137696,0.14305555555555555,0.047,2.76915411365391e-127,1.6669158404439803,0.303,0.144,4.6177728769279114e-49,1.1645783499981723,1.302191260470675,8.495308917507487,2.282189034310018,1.689030437838351,1.1966897414930868
Tmsb10,0.955634375426715,0.5090277777777777,0.019444444444444445,0,1.577760438920892,0.074,0.035,1.6649867079669085e-6,0.3104237688368427,0.2610286637050348,0.4275983827526406,1.2169471081459358,0.3646238480689406,0.24927939087375814
Bst2,170817903856494,0.5611111111111111,0.11736111111111111,0,1.4639553814804185,0.126,0.055,6.638174020038943e-16,0.4839794512340538,0.3830653079900038,1.5052102161429102,0.9297803309288213,0.7649757800426259,0.3944939677044677
H2-K1,182745594555998,0.66875,0.2791666666666667,0,1.4559713403546553,0.451,0.22,3.6240814422535613e-82,2.757966292452636,2.4048066876914214,5.166058924411571,3.05267373826979,3.4960168133503693,3.1331990535838576
H2-D1,118351624386462,0.6201388888888889,0.2951388888888889,0,1.4394330554128192,0.492,0.252,2.002903365778465e-89,3.1374397778444147,2.7838685525020077,5.7032354460008605,3.00381131294548,3.79909860013312,2.7458094334250984
Psme2,0.585850336292257,0.27291666666666664,0.08541666666666667,7.09474900996908e-255,1.3189210001911706,0.131,0.064,2.7873445769855043e-13,0.5283977394835295,0.48700312367933596,1.0400993552531064,0.8315373352741616,1.0159083527357502,0.5210823309121331
Nampt,0.301913154517763,0.13402777777777777,0.047,4.75205864841748e-110,1.3069101083147516,0.161,0.077,2.4348304416828167e-18,0.6014103892227668,0.5744305363820806,2.4014525488609797,1.130469121363447,0.6959106795504291,0.6043896307666711
Gbp7,0.288366316248589,0.15694444444444444,0.07430555555555556,4.24507814385082e-56,1.1564165497048196,0.215,0.123,3.3770118806044914e-17,0.9447105475017863,0.8221176850529059,3.3487782145220555,1.3752189024512254,1.3390421553927616,0.6838496095965679
Psme1,0.960342614566915,0.4486111111111111,0.2048611111111111,0,1.101593140434737,0.086,0.046,3.276826072428432e-5,0.34806621897947115,0.30450734782846406,0.6543028594088479,0.9521794882306884,0.5095996123045727,0.2647693536732746
Psmb9,0.481087525627627,0.2125,0.087,6.07252918382045e-187,1.0867695013339524,0.087,0.05,5.410791263886018e-4,0.37318977583396634,0.32844500260143933,0.6712281459350319,0.6709326208351901,0.48502194549167355,0.2671243608685181
H2-T23,0.517334950761098,0.27291666666666664,0.12638888888888888,3.46151868530767e-164,0.9915906882890018,0.18,0.106,5.1117354641754475e-12,0.7885634008745623,0.7367159432402942,1.7505087390487164,0.9138657425056136,0.8688936693405921,0.7787577075112616
Tspo,130153376640909,0.45902777777777776,0.13055555555555556,0,0.9687979493594321,0.063,0.036,0.04487022974522472,0.25663405037268305,0.25073613870515,0.5959274545330163,0.5599564041531118,0.33138104939719526,0.12710859684246695
Samhd1,0.444567178411831,0.21041666666666667,0.08819444444444445,1.5535522565917e-121,0.9447882079379136,0.31,0.205,2.3831918703934187e-18,1.643210550355484,1.4195225346993352,5.18575703250541,1.9213636423073313,1.7990719049968447,1.3504045934491349
Trim30a,0.303666990916703,0.20416666666666666,0.11875,8.23447832741931e-52,0.8419687230133645,0.381,0.275,7.697444075087964e-20,2.044912579957573,2.000790948667262,6.974694637898962,2.2222006084957884,2.3780113886446923,1.6356121453789996
Ly6e,0.966741108443298,0.6673611111111111,0.5152777777777777,0,0.8410116166374617,0.475,0.338,5.175884396534876e-32,3.084912253277099,2.615473889863914,5.162905408151794,4.078565889731106,3.641218244898771,2.5624867912236704
B2m,139146197671608,0.6930555555555555,0.6,0,0.7766415640968982,0.778,0.662,7.98163156152303e-71,8.428738767745445,7.637851874893332,12.059010012549313,13.814612065581871,10.492396770941554,9.107757610571067
