"log2foldchange","p.value","FDR","gene","direction"
-0.884888599241343,0.647195377670774,0.952740595691101,"Chml","ns"
0.259560842890304,0.220665024865384,0.775074222906382,"Chmp1a","ns"
0.234475971373125,0.243929866423082,0.788850624632299,"Chmp1b","ns"
-0.392646510779712,0.0889337019587552,0.601233904740206,"Chmp2b","ns"
-0.220799028179774,0.377909650231598,0.854130622421927,"Chmp3","ns"
1.01665934289467,9.42796015987058e-05,0.0167415988832513,"Chmp4b","up"
-0.647518805349042,0.00470573797860576,0.178231374828083,"Chmp4c","ns"
-0.317460618511765,0.266913307152272,0.800486033206572,"Chmp5","ns"
-0.59628890924374,0.041643508021823,0.46434452220339,"Chmp6","ns"
-0.1686844117849,0.465780170882605,0.889935826443512,"Chodl","ns"
0.00260242956151568,1,1,"Chordc1","ns"
0.376786830848071,0.160397558005528,0.701760266843412,"Chp1","ns"
0.0542742872826196,0.644887327077409,0.952740595691101,"Chpf2","ns"
-0.300869876727589,0.157628810215334,0.699593366092345,"Chpt1","ns"
-0.210365284691736,0.34475615915734,0.844699338196041,"Chrac1","ns"
0.145846312358485,0.285988629205848,0.810861772038283,"Chrdl1","ns"
-0.41618036445494,0.101490606649075,0.627626184956817,"Chrm1","ns"
0.101507583821479,0.590328658063579,0.938423617564952,"Chrm2","ns"
0.0135343799587475,1,1,"Chrm3","ns"
-0.635644762378054,0.0164406310864774,0.31942887405606,"Chrna1","ns"
-0.0371913816734377,0.974796305965282,0.999667018391994,"Chrna2","ns"
0.0633960660962911,0.766023014300132,0.970597173815904,"Chrna4","ns"
-0.837269279929242,0.545243731380798,0.917000837518676,"Chrna6","ns"
0.0411694890440304,0.936982456870821,0.991940903808069,"Chrna7","ns"
-0.473319989370462,0.0591882855600075,0.527152129998752,"Chrnb4","ns"
-0.172015766549627,0.685930485459983,0.960853443499815,"Chrne","ns"
-0.180815613249357,0.44340551506839,0.882175762219695,"Chst1","ns"
-0.343912841355806,0.324806792201274,0.83464700941032,"Chst11","ns"
0.0465295362037375,0.559748075646447,0.926275729431704,"Chst12","ns"
0.0136670615109862,0.837417123323021,0.975665375563718,"Chst15","ns"
-0.127712885915204,0.636974432491066,0.951080878082862,"Chst2","ns"
-0.362195684855344,0.51273199895882,0.908125583604306,"Chst3","ns"
-0.346289465111434,0.0976125100030761,0.617441567909731,"Chst7","ns"
-0.274161036616532,0.120938038845642,0.651103046630605,"Chst8","ns"
-0.267205158548294,0.635072638503197,0.951080878082862,"Chst9","ns"
-0.432539128588221,0.835366376686508,0.975665375563718,"Chsy3","ns"
-0.215776179943009,0.475188037165313,0.894472036055775,"Chtf18","ns"
-0.579337144858543,0.0164069255129896,0.31942887405606,"Chtf8","ns"
0.283842257337877,0.231346819598216,0.778031432656812,"Chtop","ns"
-0.095943814933543,0.716583003356915,0.963979212933434,"Chuk","ns"
-0.0479825800592801,0.367680095051304,0.852027204813155,"Ciao1","ns"
0.17793923077786,0.434035425009042,0.876091453138366,"Ciart","ns"
-0.0452491659375254,0.936411654680666,0.991940903808069,"Cib1","ns"
-0.120151764731978,0.559081212096219,0.926275729431704,"Cib3","ns"
-0.718115836178075,0.635426587641684,0.951080878082862,"Cib4","ns"
0.381187907734049,0.323210851191699,0.834073241257099,"Cic","ns"
-0.605461905340875,0.0434779162982171,0.471001385616132,"Cidec","ns"
-0.140262025854827,0.861181821430799,0.982774703041595,"Ciita","ns"
0.61760529740429,0.00792142010018306,0.226696124064116,"Cilk1","ns"
-0.497871850372264,0.185483995862917,0.735986954256138,"Cilp","ns"
-0.571842499889243,0.129016314603938,0.66152314698544,"Cilp2","ns"
-0.253259513625135,0.409237352971404,0.867054001731092,"Cip2a","ns"
0.157872902694671,0.419951234729144,0.871145270625257,"Cipc","ns"
