ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:1904816,"positive regulation of protein localization to chromosome, telomeric region",10,0.28629815675659537,0.7101366185587804,0.8036175710594315,0.9537251529652183,0.8261412209019008,1678,"tags=40%, list=21%, signal=32%",12466/12468/12465/18854
GO:0016049,cell growth,269,0.1836572239290028,0.9102440467242195,0.8064516129032258,0.953908986724931,0.8263004624257505,1043,"tags=17%, list=13%, signal=15%",12581/66102/216344/227715/53378/12983/69550/13043/74117/29817/13205/100040462/20377/54673/12696/11820/11490/20682/12631/12955/11848/230899/15387/12978/235072/52822/65079/17756/233489/20466/170770/14694/12540/13542/83431/52808/75547/24136/217124/15519/14815/68349/18032/219158/22433
GO:0019216,regulation of lipid metabolic process,179,0.1858392085857969,0.8713807147056291,0.8046511627906977,0.953908986724931,0.8263004624257505,981,"tags=16%, list=12%, signal=14%",12266/15978/672511/12161/16592/16149/19156/22260/29817/54673/20617/22668/20682/16835/20655/14191/18023/56398/67181/12540/20788/81004/105787/11840/26914/14815/13167/19225
GO:0072522,purine-containing compound biosynthetic process,140,0.18998759946744453,0.8618206642373168,0.8067226890756303,0.953908986724931,0.8263004624257505,677,"tags=9%, list=8%, signal=9%",23962/246730/20848/18103/59027/20617/192185/26395/23971/230899/66925/107197/214917
GO:0046034,ATP metabolic process,140,0.18982417028281034,0.8610793177028483,0.8067226890756303,0.953908986724931,0.8263004624257505,1044,"tags=18%, list=13%, signal=16%",15978/20848/18655/15275/11820/26395/22228/66925/15481/212032/107197/319801/214917/14433/11966/18648/11676/105787/68342/14751/19052/66416/68349/21991/16418
GO:0033044,regulation of chromosome organization,117,-0.20951870878217493,-0.8377926517371574,0.8058510638297872,0.953908986724931,0.8263004624257505,2228,"tags=30%, list=28%, signal=22%",107995/237107/56292/70799/17222/12566/12387/68501/52040/217449/73139/20174/66156/67052/11789/11799/52696/12461/108138/28113/67177/19704/84505/50721/56505/105377/56208/217232/72400/12006/234344/26951/16319/14309/26417
GO:0042180,cellular ketone metabolic process,88,0.20263993470438987,0.8377699937573958,0.8057553956834532,0.953908986724931,0.8263004624257505,439,"tags=9%, list=5%, signal=9%",12161/16592/16149/18107/22260/58810/20617/20682
GO:0048813,dendrite morphogenesis,115,-0.20960352887613792,-0.8364229620138705,0.8063660477453581,0.953908986724931,0.8263004624257505,2280,"tags=29%, list=29%, signal=21%",224617/237868/19876/22629/218194/13193/56876/231672/16202/11977/223254/83814/21909/94245/13838/56013/74143/20354/60597/54652/29819/22421/228662/19266/216831/19878/64451/67287/665113/232560/98733/22359/65254
GO:0048762,mesenchymal cell differentiation,108,-0.2111476305993024,-0.8317750744953489,0.8074866310160428,0.953908986724931,0.8263004624257505,2507,"tags=36%, list=31%, signal=25%",546726/20666/17126/12156/16176/192173/17311/22084/12387/20115/66072/21809/68010/14083/192119/14183/15375/67525/21380/72345/52662/13838/15364/20354/102693/18504/19878/18569/15376/21386/20665/20350/15559/16776/71228/12006/16842/17260/26417
GO:0001764,neuron migration,99,-0.21362950211047932,-0.8275311049241295,0.8098495212038304,0.953908986724931,0.8263004624257505,3180,"tags=44%, list=40%, signal=27%",72129/18472/239393/11924/242050/20664/16874/14587/14714/14609/71653/22284/329165/26419/12424/269473/21974/224617/218194/12387/74195/13193/77579/56876/14083/30957/18844/18952/212712/13176/107934/211323/22241/170729/20669/171171/104382/19164/240641/71175/328365/545474/17260/14461
GO:0008277,regulation of G protein-coupled receptor signaling pathway,73,0.20548482902335147,0.8246152158483648,0.8073089700996677,0.953908986724931,0.8263004624257505,440,"tags=7%, list=6%, signal=7%",20304/12266/20617/11820/14678
GO:0035265,organ growth,87,-0.21910974975422007,-0.8213143106457934,0.8097222222222222,0.953908986724931,0.8263004624257505,1981,"tags=28%, list=25%, signal=21%",14465/77579/14083/14463/226844/11789/14183/11651/18479/19401/211323/50523/52357/16002/11731/56711/50721/15284/12288/19662/17761/17283/18159/17260
GO:0061001,regulation of dendritic spine morphogenesis,32,0.2387958840842227,0.7926459623882685,0.8066666666666666,0.953908986724931,0.8263004624257505,716,"tags=16%, list=9%, signal=14%",74117/66713/170731/12631/53872
GO:0043470,regulation of carbohydrate catabolic process,39,0.22470657191713325,0.7894568572634955,0.8069620253164557,0.953908986724931,0.8263004624257505,1664,"tags=36%, list=21%, signal=29%",15978/20848/11820/19045/319801/105787/19052/16418/56327/216963/19046/12492/19013/22040
GO:0060261,positive regulation of transcription initiation by RNA polymerase II,29,0.23690433175015094,0.7783994916601493,0.8089171974522293,0.953908986724931,0.8263004624257505,1518,"tags=21%, list=19%, signal=17%",20024/66213/18033/228980/70103/327987
GO:0048644,muscle organ morphogenesis,33,0.22733952411805833,0.7653940156173306,0.8092105263157895,0.953908986724931,0.8263004624257505,116,"tags=6%, list=1%, signal=6%",17069/13805
GO:0001736,establishment of planar polarity,27,-0.24878100534576525,-0.7619344023833616,0.8100890207715133,0.953908986724931,0.8263004624257505,1904,"tags=30%, list=24%, signal=23%",53885/230824/381979/55978/22388/380614/107934/22421
GO:0007164,establishment of tissue polarity,27,-0.24878100534576525,-0.7619344023833616,0.8100890207715133,0.953908986724931,0.8263004624257505,1904,"tags=30%, list=24%, signal=23%",53885/230824/381979/55978/22388/380614/107934/22421
GO:0051452,intracellular pH reduction,26,0.2344547567358347,0.7599381340581839,0.8065476190476191,0.953908986724931,0.8263004624257505,742,"tags=15%, list=9%, signal=14%",29876/11972/11966/11984
GO:1901998,toxin transport,23,-0.25845519414968143,-0.7570548118672065,0.806015037593985,0.953908986724931,0.8263004624257505,21,"tags=13%, list=0%, signal=13%",13429/12461/20518
GO:0010560,positive regulation of glycoprotein biosynthetic process,11,-0.31111372188393377,-0.7542989542523727,0.8045602605863192,0.953908986724931,0.8263004624257505,2664,"tags=45%, list=33%, signal=30%",99412/51801/12387/59287/16337
GO:0030890,positive regulation of B cell proliferation,19,-0.26788384473970883,-0.7488621339975339,0.8079877112135176,0.953908986724931,0.8263004624257505,1601,"tags=32%, list=20%, signal=25%",56708/22416/12151/18019/72049/17260
GO:0009303,rRNA transcription,16,0.26430892577923953,0.7447742515046663,0.8088642659279779,0.953908986724931,0.8263004624257505,901,"tags=25%, list=11%, signal=22%",68077/21429/18150/26914
GO:0045616,regulation of keratinocyte differentiation,16,0.26323982204819174,0.7417617125647705,0.8088642659279779,0.953908986724931,0.8263004624257505,1198,"tags=31%, list=15%, signal=27%",26914/22695/19877/22337/17979
GO:0097164,ammonium ion metabolic process,13,-0.2887134421843568,-0.7372105349433842,0.804140127388535,0.953908986724931,0.8263004624257505,2565,"tags=38%, list=32%, signal=26%",11941/12038/11977/15550/13195
GO:0032104,regulation of response to extracellular stimulus,15,-0.2772835041002222,-0.734756591939835,0.8088467614533965,0.953908986724931,0.8263004624257505,580,"tags=60%, list=7%, signal=56%",109648/20181/21848/54615/59030/12424/208188/17751/66354
GO:0032107,regulation of response to nutrient levels,15,-0.2772835041002222,-0.734756591939835,0.8088467614533965,0.953908986724931,0.8263004624257505,580,"tags=60%, list=7%, signal=56%",109648/20181/21848/54615/59030/12424/208188/17751/66354
GO:0060055,angiogenesis involved in wound healing,12,-0.29259228363770073,-0.7344943397573396,0.810126582278481,0.953908986724931,0.8263004624257505,1158,"tags=17%, list=14%, signal=14%",21926/14461
