ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
mmu04722,Neurotrophin signaling pathway - Mus musculus (house mouse),65,-0.21639281447827596,-0.790079764082406,0.8473837209302325,0.9968257723625322,0.8066419078986282,840,"tags=12%, list=11%, signal=11%",19164/107746/18607/78405/16367/16179/26417/14103
mmu04024,cAMP signaling pathway - Mus musculus (house mouse),109,-0.1981223742613373,-0.788466066871007,0.8913043478260869,0.9968257723625322,0.8066419078986282,2884,"tags=39%, list=36%, signal=25%",18577/19206/232975/16866/18709/14677/26419/217674/11941/98660/66922/22325/11539/57257/109880/238871/12325/15552/56508/333329/208188/15166/11515/271639/11651/18479/12015/12669/12921/11430/54652/19878/12790/12288/15550/20606/18166/320707/54393/14309/26417/106952
mmu04936,Alcoholic liver disease - Mus musculus (house mouse),60,0.20171977487779644,0.7874708493002668,0.8737864077669902,0.9968257723625322,0.8066419078986282,197,"tags=7%, list=2%, signal=7%",12266/12260/12268/12262
mmu04020,Calcium signaling pathway - Mus musculus (house mouse),102,0.18317665472950645,0.7869543919300073,0.9298892988929889,0.9968257723625322,0.8066419078986282,924,"tags=14%, list=12%, signal=12%",12291/12313/12289/12290/14683/14182/67704/107589/19057/116873/20192/227541/20866/21802
mmu05225,Hepatocellular carcinoma - Mus musculus (house mouse),74,0.19219363896944308,0.7833424167824612,0.8986928104575164,0.9968257723625322,0.8066419078986282,486,"tags=8%, list=6%, signal=8%",11461/11465/15368/93760/12028/26395
mmu04151,PI3K-Akt signaling pathway - Mus musculus (house mouse),168,0.1681236122827947,0.7795135719111226,0.948051948051948,0.9968257723625322,0.8066419078986282,1009,"tags=15%, list=13%, signal=14%",14701/14707/83490/17210/24088/14924/14688/22627/14693/20104/26395/16421/14182/12978/22371/66066/11909/381810/320207/18413/105787/21802/15519/19052/12371/16400
mmu04213,Longevity regulating pathway - multiple species - Mus musculus (house mouse),32,-0.24549219640236616,-0.7754395044779804,0.8137404580152672,0.9968257723625322,0.8066419078986282,2458,"tags=34%, list=31%, signal=24%",15482/20656/74370/16370/11515/11651/108099/16337/13688/15376/16367
mmu05030,Cocaine addiction - Mus musculus (house mouse),23,0.24765097265471922,0.7746881211639052,0.7647058823529411,0.9968257723625322,0.8066419078986282,1376,"tags=26%, list=17%, signal=22%",14683/14678/11909/18033/19697/14679
mmu05219,Bladder cancer - Mus musculus (house mouse),16,-0.28731430825075177,-0.7707535956036001,0.8076923076923077,0.9968257723625322,0.8066419078986282,672,"tags=44%, list=8%, signal=40%",17869/11836/14184/83995/109880/13143/26417
mmu04912,GnRH signaling pathway - Mus musculus (house mouse),45,-0.22239448943565837,-0.762333766051728,0.8409425625920471,0.9968257723625322,0.8066419078986282,2804,"tags=36%, list=35%, signal=23%",16866/14714/26419/20662/78390/12325/211429/14682/11515/271844/54652/329502/12288/13653/18798/26417
mmu04072,Phospholipase D signaling pathway - Mus musculus (house mouse),76,-0.20434860166418006,-0.7616666835114771,0.902158273381295,0.9968257723625322,0.8066419078986282,2398,"tags=32%, list=30%, signal=22%",104709/20662/78390/66922/52123/17311/22084/227288/56508/211429/14673/13429/11515/13139/11651/30955/217480/271844/16337/329502/78134/108069/18798/26417
mmu05415,Diabetic cardiomyopathy - Mus musculus (house mouse),120,-0.1900791927794369,-0.7594923876469214,0.9358799454297408,0.9968257723625322,0.8066419078986282,2920,"tags=32%, list=37%, signal=20%",66108/13057/68198/18709/18598/26419/66043/12896/17126/70316/22333/110323/11421/17991/12325/21809/12862/67273/20683/70456/11957/66945/28080/20463/69875/11651/75406/12857/66142/67530/16337/110854/72900/17992/22334/18798/16367/22272
mmu04961,Endocrine and other factor-regulated calcium reabsorption - Mus musculus (house mouse),31,0.22387049692085742,0.7580655640411896,0.836676217765043,0.9968257723625322,0.8066419078986282,1213,"tags=29%, list=15%, signal=25%",14683/11932/11933/232910/71770/53869/22337/11772/13430
mmu05213,Endometrial cancer - Mus musculus (house mouse),31,-0.24135736818134546,-0.757809490619607,0.8223583460949464,0.9968257723625322,0.8066419078986282,2355,"tags=45%, list=29%, signal=32%",11836/18709/13197/20662/109880/12387/16202/11789/11651/12015/18607/12006/16842/26417
mmu01230,Biosynthesis of amino acids - Mus musculus (house mouse),36,-0.23409615730930533,-0.75767090662019565,0.8502269288956127,0.9968257723625322,0.8066419078986282,1638,"tags=25%, list=20%, signal=20%",107272/71832/67834/15929/76282/18478/170718/18563/12035
mmu04922,Glucagon signaling pathway - Mus musculus (house mouse),49,0.2006145312317802,0.7551827881697457,0.89937106918239,0.9968257723625322,0.8066419078986282,983,"tags=18%, list=12%, signal=16%",12313/16828/14683/11909/19057/15469/18648/105787/18597
mmu04976,Bile secretion - Mus musculus (house mouse),37,0.21385990243925745,0.7533582264684404,0.8538011695906432,0.9968257723625322,0.8066419078986282,707,"tags=16%, list=9%, signal=15%",11829/14683/11932/16835/11933/231396
mmu00330,Arginine and proline metabolism - Mus musculus (house mouse),25,-0.24946032473846985,-0.7528181728368157,0.8297546012269938,0.9968257723625322,0.8066419078986282,966,"tags=16%, list=12%, signal=14%",13142/12715/20603/320452
mmu04919,Thyroid hormone signaling pathway - Mus musculus (house mouse),67,0.18692544967720376,0.751492393786135,0.9056603773584906,0.9968257723625322,0.8066419078986282,722,"tags=10%, list=9%, signal=10%",11461/11465/11932/26395/11933/20466/20182
mmu04664,Fc epsilon RI signaling pathway - Mus musculus (house mouse),39,-0.22694251730879164,-0.7509807665325817,0.8500749625187406,0.9968257723625322,0.8066419078986282,2355,"tags=33%, list=29%, signal=24%",18709/26419/20662/78390/22325/57257/211429/11651/21926/271844/329502/18607/26417
mmu04360,Axon guidance - Mus musculus (house mouse),92,-0.19466846467918505,-0.7509502084165021,0.9213793103448276,0.9968257723625322,0.8066419078986282,1921,"tags=22%, list=24%, signal=17%",14083/16202/226251/18844/16885/18479/13176/13838/20354/241656/214230/171171/19878/18607/18019/20350/20564/13643/26417/65254
mmu04721,Synaptic vesicle cycle - Mus musculus (house mouse),48,0.20074892810112546,0.7488912786402816,0.9015873015873016,0.9968257723625322,0.8066419078986282,1712,"tags=33%, list=21%, signal=26%",11972/232910/11966/11984/71770/76252/19339/11772/22318/20910/108124/13430/14412/140919/11773/208898
mmu04932,Non-alcoholic fatty liver disease - Mus musculus (house mouse),102,-0.19025537359347944,-0.7479926018614682,0.9316005471956225,0.9968257723625322,0.8066419078986282,2077,"tags=23%, list=26%, signal=17%",208104/12862/26408/67273/16175/66945/20463/69875/11651/75406/12857/66142/21926/67530/108099/16337/72900/17992/13067/16367/22272/13665/14103
mmu04211,Longevity regulating pathway - Mus musculus (house mouse),47,-0.21534621151577887,-0.7472147729814728,0.8546511627906976,0.9968257723625322,0.8066419078986282,2567,"tags=32%, list=32%, signal=22%",19017/64930/12915/20656/74370/22084/16370/11515/11651/22241/108099/16337/12421/51897/16367
mmu04744,Phototransduction - Mus musculus (house mouse),13,0.27816977606994264,0.7437165525262176,0.8088642659279779,0.9968257723625322,0.8066419078986282,391,"tags=15%, list=5%, signal=15%",12313/14688
mmu05223,Non-small cell lung cancer - Mus musculus (house mouse),36,0.20931643737516076,0.7344369956610588,0.8914956011730205,0.9968257723625322,0.8066419078986282,1951,"tags=44%, list=24%, signal=34%",20848/12028/26395/17873/20182/21802/12371/20851/110157/23797/56484/15461/12567/16572/74769/26413
mmu01521,EGFR tyrosine kinase inhibitor resistance - Mus musculus (house mouse),41,0.20122283226210247,0.7318677626540621,0.8695652173913043,0.9968257723625322,0.8066419078986282,2091,"tags=39%, list=26%, signal=29%",20848/20104/12028/26395/21802/26362/110157/23797/26987/56484/15461/20418/74769/26413/216148/16451
mmu01522,Endocrine resistance - Mus musculus (house mouse),44,-0.21388165891556768,-0.7293680837601069,0.8844444444444445,0.9968257723625322,0.8066419078986282,2609,"tags=36%, list=33%, signal=25%",11836/18709/26419/12580/20662/13388/109880/20683/14083/11515/11651/12015/13389/12576/18131/26417
mmu03420,Nucleotide excision repair - Mus musculus (house mouse),27,-0.23753412880771607,-0.7257067782044875,0.8883720930232558,0.9968257723625322,0.8066419078986282,2082,"tags=30%, list=26%, signal=22%",20021/99375/17749/18973/18971/66491/59001/69241
mmu00350,Tyrosine metabolism - Mus musculus (house mouse),11,-0.2997538258018043,-0.7235625946677595,0.8393700787401575,0.9968257723625322,0.8066419078986282,1413,"tags=27%, list=18%, signal=22%",13190/12846/13195
mmu04814,Motor proteins - Mus musculus (house mouse),87,0.17253349646207158,0.7213188367397919,0.9551724137931035,0.9968257723625322,0.8066419078986282,384,"tags=6%, list=5%, signal=6%",11461/11465/59069/12340/103733
mmu00240,Pyrimidine metabolism - Mus musculus (house mouse),27,0.216469147146303,0.7137770459857435,0.8711484593837535,0.9968257723625322,0.8066419078986282,260,"tags=7%, list=3%, signal=7%",22169/18103
