"UMAP_1","UMAP_2","cluster","myeloid_binary"
0.9484741405184,-0.789634575009752,"Homeostatic Microglia","Myeloid"
-0.697407035476473,2.57901359641511,"Transiently Activated Microglia","Myeloid"
1.38509294545004,-0.141774047971178,"Primed Microglia","Myeloid"
-0.662600307113436,-0.518180717587877,"Homeostatic Microglia","Myeloid"
0.634837837570402,0.219353805422377,"Primed Microglia","Myeloid"
-2.17500451052835,-0.542814125180651,"Infiltrating Macrophages","Myeloid"
2.46388647114584,0.790736804842543,"Primed Microglia","Myeloid"
-1.86336472476175,0.769135843157362,"Transiently Activated Microglia","Myeloid"
1.05840322529623,-0.514201511502672,"Primed Microglia","Myeloid"
-0.438940314895419,-0.867554058194567,"Primed Microglia","Myeloid"
2.13899347340414,0.266952167391371,"Primed Microglia","Myeloid"
0.0297233775789465,-3.28474222576659,"Homeostatic Microglia","Myeloid"
-2.32601621592691,2.33492053592164,"IEG-High Microglia","Myeloid"
-0.856789855605868,2.7702044352289,"IEG-High Microglia","Myeloid"
2.19886562382528,-0.808729995847155,"Homeostatic Microglia","Myeloid"
-3.2149620338743,-0.32911430752318,"Homeostatic Microglia","Myeloid"
-0.4510939403837,-3.36756693279784,"Homeostatic Microglia","Myeloid"
0.934413166397306,-0.379127849698473,"Transiently Activated Microglia","Myeloid"
-1.40565445864847,0.176719079851698,"Homeostatic Microglia","Myeloid"
1.8188616946871,1.40280593478639,"Homeostatic Microglia","Myeloid"
-0.705006389266757,0.672439227938246,"Transiently Activated Microglia","Myeloid"
4.6222703174288,-2.01143871700804,"CD8+ T Cells","Non-Myeloid"
-0.494616298324374,1.09273160541017,"Transiently Activated Microglia","Myeloid"
0.854903431289884,1.56799162471254,"Mitochondrial-Activated Microglia","Myeloid"
1.83327648197958,1.62379778468568,"Homeostatic Microglia","Myeloid"
0.128217907303068,-0.940893997311998,"Homeostatic Microglia","Myeloid"
-0.597025184280184,-1.86336313641112,"Mitochondrial-Activated Microglia","Myeloid"
0.613068313949796,0.914350877642225,"Homeostatic Microglia","Myeloid"
1.462177963608,2.97200692737062,"IFN-Responsive Microglia","Myeloid"
-1.27932002986124,-2.19607387936156,"Homeostatic Microglia","Myeloid"
0.885282249801847,0.380234132647108,"Homeostatic Microglia","Myeloid"
-0.737894801742343,2.03798497760255,"Homeostatic Microglia","Myeloid"
-1.63069203341654,2.18560112559755,"Homeostatic Microglia","Myeloid"
1.11788103138754,1.57588971698244,"Homeostatic Microglia","Myeloid"
0.0937058643038,-4.01366506969969,"Homeostatic Microglia","Myeloid"
1.65187809025595,2.17838955962617,"Transiently Activated Microglia","Myeloid"
0.117293091171476,-2.38936077511351,"Homeostatic Microglia","Myeloid"
-0.990007667190341,0.223659644960951,"Transiently Activated Microglia","Myeloid"
0.628772945755216,-0.958583702207018,"Homeostatic Microglia","Myeloid"
0.145358295791837,0.692009340166639,"Homeostatic Microglia","Myeloid"
-0.350829391128329,1.90390075290162,"Transiently Activated Microglia","Myeloid"
1.37458107029745,-0.360467304349352,"Transiently Activated Microglia","Myeloid"
-0.321555404311923,1.89549625956972,"IEG-High Microglia","Myeloid"
0.275036545150968,-0.704981674313951,"Homeostatic Microglia","Myeloid"
2.23078891789267,-0.539784778714586,"Primed Microglia","Myeloid"
0.266780586593839,-2.77167545712035,"Primed Microglia","Myeloid"
-0.735513000137118,-0.0999983445410022,"Homeostatic Microglia","Myeloid"
-2.35137799227884,0.904299388765883,"Homeostatic Microglia","Myeloid"
