"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","gene_set_db","cluster","direction","cluster_dir","Pathway","logp"
NA,NA,"GO:0002250","adaptive immune response","16/97","380/15173",2.18589808563126e-09,1.53841999750807e-07,1.18776385996007e-07,"19264/14972/16149/14964/21354/14190/14961/12010/16362/60533/27007/14960/15040/329260/75345/54123",16,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","adaptive immune response [GO_BP]",6.81292508345564
NA,NA,"GO:0050830","defense response to Gram-positive bacterium","9/97","82/15173",2.43848244382632e-09,1.65898088928317e-07,1.28084498891509e-07,"14972/229900/14469/17472/14964/12010/76074/27007/15040",9,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","defense response to Gram-positive bacterium [GO_BP]",6.78015861682475
NA,NA,"GO:0002483","antigen processing and presentation of endogenous peptide antigen","6/97","21/15173",2.93157602334784e-09,1.86979583239154e-07,1.44360832465517e-07,"14972/14964/21354/12010/21356/15040",6,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","antigen processing and presentation of endogenous peptide antigen [GO_BP]",6.72820581255791
NA,NA,"GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I","6/97","21/15173",2.93157602334784e-09,1.86979583239154e-07,1.44360832465517e-07,"14972/14964/21354/12010/21356/15040",6,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","antigen processing and presentation of endogenous peptide antigen via MHC class I [GO_BP]",6.72820581255791
NA,NA,"GO:0060333","type II interferon-mediated signaling pathway","6/97","22/15173",4.01020290337186e-09,2.46144707157425e-07,1.90040293259065e-07,"434341/20846/547253/80285/16362/15944",6,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","type II interferon-mediated signaling pathway [GO_BP]",6.60880949841261
NA,NA,"GO:0016032","viral process","14/97","289/15173",4.10040178508204e-09,2.46144707157425e-07,1.90040293259065e-07,"20846/20128/23962/16149/229900/66141/17069/78781/20684/98999/19106/209387/71586/80287",14,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","viral process [GO_BP]",6.60880949841261
NA,NA,"GO:0034340","response to type I interferon","8/97","61/15173",4.63844270086319e-09,2.70487472927479e-07,2.08834548065931e-07,"434341/20846/56045/20847/66141/20684/71586/54123",8,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","response to type I interferon [GO_BP]",6.56785284354983
NA,NA,"GO:0019883","antigen processing and presentation of endogenous antigen","6/97","23/15173",5.39768910265032e-09,2.99546277146131e-07,2.31269902208803e-07,"14972/14964/21354/12010/21356/15040",6,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","antigen processing and presentation of endogenous antigen [GO_BP]",6.52353607358635
NA,NA,"GO:1903039","positive regulation of leukocyte cell-cell adhesion","13/97","246/15173",5.43028527898425e-09,2.99546277146131e-07,2.31269902208803e-07,"19264/14972/16149/14964/14961/12010/16362/16423/11461/15944/60533/14960/15040",13,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","positive regulation of leukocyte cell-cell adhesion [GO_BP]",6.52353607358635
NA,NA,"GO:0019058","viral life cycle","12/97","212/15173",1.01947723705307e-08,5.47566589690871e-07,4.22758289160233e-07,"20128/23962/16149/229900/66141/17069/78781/98999/19106/209387/71586/80287",12,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","viral life cycle [GO_BP]",6.26156305863073
