"Pathway","IFN_Responsive_Microglia_UP","Infiltrating_Macrophages_UP","Transiently_Activated_Microglia_UP","Homeostatic_Microglia_UP","Homeostatic_Microglia_DOWN","Transiently_Activated_Microglia_DOWN","Infiltrating_Macrophages_DOWN","Cluster"
"type II interferon production [GO_BP]",1.89008907784703,1.43637691282657,0,0,0,0,0,5
"cellular response to exogenous dsRNA [GO_BP]",1.94723789666321,1.76895189210162,0,0,0,0,0,5
"negative regulation of defense response to virus [GO_BP]",1.79910565382267,1.64962323852911,0,0,0,0,0,5
"Fc-gamma receptor signaling pathway [GO_BP]",1.70394056869901,1.60278580759947,0,0,0,0,0,5
"release of sequestered calcium ion into cytosol [GO_BP]",2.13306580346232,2.34391059525316,0,0,0,0,0,5
"negative regulation of sequestering of calcium ion [GO_BP]",2.11038579179631,2.32847504963065,0,0,0,0,0,5
"negative regulation of receptor signaling pathway via JAK-STAT [GO_BP]",1.99191733447261,2.34757292184527,0,0,0,0,0,5
"regulation of T cell differentiation [GO_BP]",1.98992984414494,2.26862180573917,0,0,0,0,0,5
"regulation of sequestering of calcium ion [GO_BP]",2.07285623216815,2.29987434424312,0,0,0,0,0,5
"sequestering of calcium ion [GO_BP]",2.03601764282134,2.27698534607162,0,0,0,0,0,5
"negative regulation of T cell activation [GO_BP]",1.81656414871314,2.11463577654482,0,0,0,0,0,5
"response to interferon-alpha [GO_BP]",1.93869888196167,2.310637752751,0,0,0,0,0,5
"negative regulation of receptor signaling pathway via STAT [GO_BP]",1.8900815934226,2.27703899065846,0,0,0,0,0,5
"hematopoietic progenitor cell differentiation [GO_BP]",2.29102406472937,1.76703379859077,0,0,0,0,0,5
"calcium ion transmembrane import into cytosol [GO_BP]",2.2154588887496,1.7237867144259,0,0,0,0,0,5
"regulation of receptor signaling pathway via STAT [GO_BP]",2.18160730499339,1.94754611058129,0,0,0,0,0,5
"regulation of receptor signaling pathway via JAK-STAT [GO_BP]",2.39068680708329,2.09011029250817,0,0,0,0,0,5
"positive regulation of lymphocyte differentiation [GO_BP]",2.26311523062697,2.07295399160974,0,0,0,0,0,5
"regulation of lymphocyte differentiation [GO_BP]",1.57682960247963,1.94754611058129,0,0,0,0,0,5
"negative regulation of leukocyte cell-cell adhesion [GO_BP]",1.60626949732882,1.94754611058129,0,0,0,0,0,5
"toll-like receptor signaling pathway [GO_BP]",1.36377326197639,2.24212211737727,0,0,0,0,0,5
"interferon-beta production [GO_BP]",1.37696968026528,2.2630909239731,0,0,0,0,0,5
"regulation of interferon-beta production [GO_BP]",1.37696968026528,2.2630909239731,0,0,0,0,0,5
"Neutrophil degranulation [Reactome]",1.49450807394439,2.27749521772551,0,0,0,0,0,5
"movement in host [GO_BP]",1.60626949732882,2.34391059525316,0,0,0,0,0,5
"positive regulation of T cell proliferation [GO_BP]",2.04979135993096,3.12759999816626,0,0,0,0,0,5
"Cell adhesion molecule (CAM) interaction - Mus musculus (house mouse) [KEGG]",1.77807827445286,2.67863118943538,0,0,0,0,0,5
