"Pathway","IFN_Responsive_Microglia_UP","Infiltrating_Macrophages_UP","Transiently_Activated_Microglia_UP","Homeostatic_Microglia_UP","Homeostatic_Microglia_DOWN","Transiently_Activated_Microglia_DOWN","Infiltrating_Macrophages_DOWN","Cluster"
"Autoimmune thyroid disease - Mus musculus (house mouse) [KEGG]",1.70533091080703,3.39799834961411,1.41126329091661,1.84029939434213,0,0,0,4
"Allograft rejection - Mus musculus (house mouse) [KEGG]",1.70533091080703,3.39799834961411,1.41126329091661,1.84029939434213,0,0,0,4
"positive regulation of lymphocyte proliferation [GO_BP]",2.37074597783177,3.34364771953272,1.78325387708037,1.79064856221608,0,0,0,4
"positive regulation of natural killer cell activation [GO_BP]",2.20323473138889,3.03038705828405,1.83260273692872,1.83764428384083,0,0,0,4
"Endosomal/Vacuolar pathway [Reactome]",2.22590648592428,3.76867121654164,1.51286510597491,1.57087583052793,0,0,0,4
"regulation of natural killer cell activation [GO_BP]",2.26679228857467,3.51026361046508,1.60692819139349,1.61623607117348,0,0,0,4
"regulation of viral entry into host cell [GO_BP]",1.93296508659955,3.87414304236141,1.72699851220587,1.73198979064384,0,0,0,4
"modulation by symbiont of entry into host [GO_BP]",1.76568027575956,3.66304607408419,1.65633260377889,1.66145392997405,0,0,0,4
"positive regulation of hypersensitivity [GO_BP]",2.73007886637075,2.96237907788124,2.27508968246387,2.28388719841325,0,0,0,4
"positive regulation of CD8-positive, alpha-beta T cell activation [GO_BP]",2.64104780544036,2.89092480926038,2.25659798724775,2.2636330081957,0,0,0,4
"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent [GO_BP]",2.64104780544036,2.89092480926038,2.25659798724775,2.2636330081957,0,0,0,4
"positive regulation of acute inflammatory response to antigenic stimulus [GO_BP]",2.64104780544036,2.89092480926038,2.25659798724775,2.2636330081957,0,0,0,4
"natural killer cell proliferation [GO_BP]",2.04808385935218,2.39925747382626,2.04912827161612,2.02339943590745,0,0,0,4
"positive regulation of natural killer cell proliferation [GO_BP]",2.44724262970445,2.75536656822727,2.20586072946622,2.20555932132446,0,0,0,4
"regulation of natural killer cell proliferation [GO_BP]",2.37062256472693,2.69233547739561,2.17713627341487,2.17397519576105,0,0,0,4
"positive regulation of inflammatory response to antigenic stimulus [GO_BP]",2.29102406472937,2.62765938814533,2.17310426926589,2.15445684180655,0,0,0,4
"neutrophil chemotaxis [GO_BP]",1.4552706054107,2.720469383222,2.17713627341487,2.17397519576105,0,0,0,4
"positive regulation of natural killer cell cytokine production [GO_BP]",1.78434352939868,3.03038705828405,2.31767791292742,2.30229854377613,0,0,0,4
"natural killer cell cytokine production [GO_BP]",1.70394056869901,2.96237907788124,2.27508968246387,2.28388719841325,0,0,0,4
"regulation of natural killer cell cytokine production [GO_BP]",1.70394056869901,2.96237907788124,2.27508968246387,2.28388719841325,0,0,0,4
"antibacterial humoral response [GO_BP]",1.70029075771094,3.29960105983352,2.89508143155607,2.94316476904548,0,0,0,4
"positive regulation of CD8-positive, alpha-beta T cell proliferation [GO_BP]",2.04644364893825,3.32325046825355,2.40565952515347,2.41128067242106,0,0,0,4
"positive regulation of TRAIL production [GO_BP]",2.14126933174168,3.44159582472305,2.45156237491741,2.46860722808103,0,0,0,4
"regulation of TRAIL production [GO_BP]",2.14126933174168,3.44159582472305,2.45156237491741,2.46860722808103,0,0,0,4
"natural killer cell tolerance induction [GO_BP]",2.14126933174168,3.44159582472305,2.45156237491741,2.46860722808103,0,0,0,4
"TRAIL production [GO_BP]",2.14126933174168,3.44159582472305,2.45156237491741,2.46860722808103,0,0,0,4
