names,scores,logfoldchanges,pvals,pvals_adj
Rasal2,2.4405072,0.875756,0.014666652299986475,0.6666289766349913
Ang,2.4365625,1.8637073,0.014827609035787608,0.6717781222287937
Dleu2,2.4293303,0.40660226,0.015126742824976008,0.6772792141958786
Snx5,2.4293303,0.58624524,0.015126742824976008,0.6772792141958786
Nrp1,2.4253855,0.66812384,0.015292136468487259,0.6812949611294609
Rcbtb2,2.4234133,1.335509,0.015375428756749234,0.6824220712000323
P3h2,2.4194684,0.87273324,0.015543212169025248,0.6856918525252094
Sft2d1,2.4023743,0.8910824,0.016289031423735282,0.707743855648449
E330020D12Rik,2.3984296,1.1072775,0.01646554484150086,0.710703457079554
Inpp5d,2.3879101,0.41228902,0.01694448644042194,0.7261519320027489
Vsir,2.3859377,0.7351025,0.017035636687964376,0.7278981377432443
Cd84,2.3852801,0.6715917,0.017066115569067675,0.7278981377432443
P2ry6,2.373446,1.0021833,0.017622975472883717,0.7498721880293949
Gm10790,2.3681862,1.103611,0.017875538687331983,0.7570395784312668
Sparc,2.366871,0.8056744,0.017939172848181608,0.7579511082028656
Adrb2,2.3655562,1.3130815,0.01800300536396765,0.758866729616051
Maml3,2.360954,0.719494,0.018227988550616334,0.7665550605666902
Slc16a6,2.3563519,1.0212195,0.018455429662079217,0.7685166952732086
Bach2,2.3478048,1.0680859,0.018884416405441348,0.7813807146702042
B3galnt1,2.3399153,1.4123923,0.0192881186106467,0.7926183718562329
Pmepa1,2.324136,0.91929674,0.020118202782583798,0.8155575042426256
Tyrobp,2.3201914,0.48122197,0.020330532274162084,0.8223129222531311
Fhit,2.3090143,0.99822104,0.02094278301308596,0.8414043559208352
Txnip,2.3076994,0.834317,0.021015858331355365,0.8424597641560473
Rbm26,2.3017824,0.53945696,0.021347453431052283,0.8500725980210398
Mia2,2.29718,0.77260333,0.02160850191591972,0.8566771497459009
Erbin,2.295865,0.4896398,0.021683595757648364,0.8577649231690394
Ctsb,2.2906053,0.47341934,0.02198624711913179,0.8678299603009937
Itga6,2.288633,0.9102835,0.02210068520811816,0.8700412503382937
Pitpnc1,2.2846882,0.8271404,0.022331116531013794,0.8756814083697544
Trem2,2.2827158,0.8586894,0.02244711355585386,0.8764112730841944
Clec10a,2.2781136,1.2652158,0.02271981219117991,0.8851383108853836
Pik3cg,2.2761412,0.72648466,0.022837561451245783,0.8858906650020967
Pbx3,2.2748263,0.94024986,0.022916355182183504,0.8862825135555654
Stard9,2.2741687,0.69925785,0.02295584052827807,0.8862825135555654
Ank,2.2735114,1.5497414,0.022995384956411413,0.8862825135555654
Ttc3,2.268909,0.8339725,0.02327385624540983,0.8950985866690845
Gpr34,2.2656217,0.8258938,0.023474552496495278,0.9005195151019326
Arhgap45,2.261677,0.55492043,0.02371736922558184,0.9063459207882114
Slco2b1,2.2544448,0.72421986,0.024168196231214637,0.9196688455933029
Dlc1,2.2485278,1.3717418,0.024542562379501767,0.9260829775024157
Fam172a,2.243268,0.49744257,0.024879540063331967,0.9368343966525357
Tanc2,2.2373507,0.51439005,0.0252634225220477,0.9473257124465345
Prcp,2.2294612,0.93562496,0.02578323328471469,0.9628058420987131
Rnf13,2.214997,0.7282343,0.02676027045258066,0.9870043194180314
Pnrc1,2.2103949,1.5355328,0.02707777783848868,0.9946386190101179
Lmo2,2.2077649,0.8204964,0.027260666518327415,0.9993171826137988
Ubb,2.2057924,0.7688705,0.027398531638670953,1.0
Ogt,2.205135,0.6544537,0.02744462015721891,1.0
Rtn3,2.2011902,0.8893268,0.02772255818353362,1.0
Sec14l1,2.1906707,0.9417762,0.02847562193995032,1.0
