"Pathway","Infiltrating_Macrophages_UP","Homeostatic_Microglia_UP","Transiently_Activated_Microglia_UP","Infiltrating_Macrophages_DOWN","Homeostatic_Microglia_DOWN","Transiently_Activated_Microglia_DOWN","IFN_Responsive_Microglia_UP"
"antigen processing and presentation [GO_BP]",8,3.67532842596439,2.89508143155607,0,0,0,8
"antigen processing and presentation of endogenous antigen [GO_BP]",6.52353607358635,3.21176009946618,3.12656450152301,0,0,0,6.49114476646933
"antigen processing and presentation of endogenous peptide antigen [GO_BP]",6.72820581255791,3.2609622773109,3.13994771134123,0,0,0,6.81073663961572
"antigen processing and presentation of endogenous peptide antigen via MHC class I [GO_BP]",6.72820581255791,3.2609622773109,3.13994771134123,0,0,0,6.81073663961572
"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway [GO_BP]",2.82470687756929,2.23361216644567,2.22910316954744,0,0,0,3.65521142884401
"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent [GO_BP]",2.89092480926038,2.2636330081957,2.25659798724775,0,0,0,2.64104780544036
"antigen processing and presentation of endogenous peptide antigen via MHC class Ib [GO_BP]",2.82470687756929,2.23361216644567,2.22910316954744,0,0,0,3.65521142884401
"antigen processing and presentation of exogenous antigen [GO_BP]",8,3.67532842596439,3.61646176674357,0,0,0,8
"antigen processing and presentation of exogenous peptide antigen [GO_BP]",8,3.67532842596439,3.61646176674357,0,0,0,8
"antigen processing and presentation of exogenous peptide antigen via MHC class II [GO_BP]",4.12488032221868,2.20555932132446,2.20586072946622,0,0,0,4.70888854877401
"antigen processing and presentation of exogenous peptide antigen via MHC class Ib [GO_BP]",4.72533015681515,3.57969908309506,3.52083242387424,0,0,0,4.37534878959761
"antigen processing and presentation of peptide antigen [GO_BP]",8,3.41082132365266,3.35195466443183,0,0,0,8
"antigen processing and presentation of peptide antigen via MHC class I [GO_BP]",5.8204640524709,2.94316476904548,2.89508143155607,0,0,0,8
"antigen processing and presentation of peptide antigen via MHC class II [GO_BP]",3.95666290342495,2.15445684180655,2.17310426926589,0,0,0,4.44968208388187
"antigen processing and presentation of peptide antigen via MHC class Ib [GO_BP]",4.12488032221868,3.3443663436197,3.15916414879325,0,0,0,4.70888854877401
"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II [GO_BP]",3.7924003636392,2.08538902264245,2.11367253914053,0,0,0,4.22574627084258
"antigen processing and presentation via MHC class Ib [GO_BP]",3.87414304236141,3.2609622773109,3.13994771134123,0,0,0,5.53986962607784
"antimicrobial humoral immune response mediated by antimicrobial peptide [GO_BP]",1.80801722378306,0,0,0,0,0,0
"antimicrobial humoral response [GO_BP]",4.17531595425368,2.334313097825,2.3546276846518,0,0,0,0
"antiviral innate immune response [GO_BP]",0,0,0,0,0,0,1.37696968026528
"apoptotic cell clearance [GO_BP]",0,0,0,0,1.62831463471137,0,0
"aromatic compound catabolic process [GO_BP]",0,0,0,0,0,0,1.77108716979162
"artery morphogenesis [GO_BP]",0,0,0,0,1.3427483289223,0,0
"autophagosome assembly [GO_BP]",0,0,0,0,0,0,2.04979135993096
"autophagosome maturation [GO_BP]",0,0,0,0,0,0,2.26679228857467
"autophagosome organization [GO_BP]",0,0,0,0,0,0,1.90793378458366
"autophagy [GO_BP]",0,0,0,0,0,0,4.20026524667565
"autophagy of mitochondrion [GO_BP]",0,0,0,0,0,0,1.47463079419898
"base conversion or substitution editing [GO_BP]",0,0,0,0,0,0,2.04644364893825
"biological process involved in interaction with host [GO_BP]",3.49761232880339,0,0,0,0,0,4.40294198539476
"biological process involved in symbiotic interaction [GO_BP]",2.33537506944349,0,0,0,0,0,2.96298250346101
"blood coagulation [GO_BP]",0,0,0,0,0,0,1.51396190887483
"bone remodeling [GO_BP]",0,0,0,1.3466169718481,0,0,0
"bone resorption [GO_BP]",0,0,0,1.60039108460318,0,0,0
"calcium ion homeostasis [GO_BP]",0,0,0,0,0,0,1.85613342192059
"calcium ion transmembrane import into cytosol [GO_BP]",1.7237867144259,0,0,0,0,0,2.2154588887496
"calcium ion transmembrane transport [GO_BP]",0,0,0,0,0,0,1.80835675132213
"calcium ion transport [GO_BP]",0,0,0,0,0,0,1.60626949732882
"calcium-mediated signaling [GO_BP]",0,0,0,0,0,0,2.97349947639046
"calmodulin dependent kinase signaling pathway [GO_BP]",1.76895189210162,0,0,0,0,0,3.08745498996615
"canonical NF-kappaB signal transduction [GO_BP]",2.99077450418957,0,0,0,0,0,6.3096926491466
"canonical inflammasome complex assembly [GO_BP]",2.96237907788124,0,0,0,0,0,4.78624592840325
"cardiac muscle cell action potential [GO_BP]",0,0,0,0,0,0,1.96911126246436
