gene,logFC,padj,scores
Stat3,0.26161465,1.0,1.6586372
Zfp236,0.3806229,1.0,1.6567942
Hspa1b,0.3361889,1.0,1.6559078
Arhgap22,0.19350661,1.0,1.6533649
Ugcg,0.5286674,1.0,1.6518486
Pacsin2,0.2596262,1.0,1.6400443
Cdk6,0.26468557,1.0,1.6388079
Abcg3,0.79520077,1.0,1.6378281
Tpd52,0.3188241,1.0,1.6345388
Gbf1,0.28672665,1.0,1.6338623
Tmem104,0.3922391,1.0,1.6338389
Rbl2,0.47583407,1.0,1.6306195
Invs,0.42162457,1.0,1.6235276
Sfmbt1,0.22962104,1.0,1.6211015
Acss1,0.25265506,1.0,1.6179289
Ptk2b,0.24058913,1.0,1.6166458
Rbm25,0.21188578,1.0,1.6162724
Nfatc2,0.30331522,1.0,1.6150827
Xpo4,0.4116983,1.0,1.6065679
Atf6,0.26926726,1.0,1.6064279
Tap2,0.6206725,1.0,1.6063346
Secisbp2l,0.3383915,1.0,1.6036751
Cd86,0.21890903,1.0,1.5979129
Irf9,0.96276814,1.0,1.5958134
Gm47283,0.555372,1.0,1.592734
Tmem87b,0.25047833,1.0,1.5920808
Mknk1,0.2557618,1.0,1.5906577
Lnpep,0.19903584,1.0,1.5904711
mt-Nd2,0.06732985,1.0,1.5866919
Rcsd1,0.23047578,1.0,1.5853854
Scarb2,0.23800577,1.0,1.5851289
Eef2,0.40316045,1.0,1.5833093
Srsf5,0.22974382,1.0,1.582936
Abca1,0.15863921,1.0,1.5818396
Luc7l3,0.2612767,1.0,1.5754708
Erap1,0.3885711,1.0,1.5753542
Whrn,0.25345144,1.0,1.5746777
Slc7a7,0.27451766,1.0,1.5718316
Znrf1,0.28501415,1.0,1.571715
Tasor2,0.24218546,1.0,1.5677258
Pou6f1,0.70485747,1.0,1.5674459
Fhit,0.19659671,1.0,1.565323
Trir,0.55925775,1.0,1.562267
G530011O06Rik,0.7084165,1.0,1.5621736
Gpatch2,0.35746318,1.0,1.5610771
Pfkfb3,0.3866966,1.0,1.5595142
BC002059,0.6300783,1.0,1.5558982
Cnot2,0.20694737,1.0,1.551979
Apba1,0.20222907,1.0,1.5514657
Xaf1,1.6660335,1.0,1.5508126
Atg10,0.29106405,1.0,1.5451204
Lrp1,0.18511163,1.0,1.535789
N4bp2l1,0.3170441,1.0,1.5321964
Tiam1,0.58987296,1.0,1.5300035
Uba52,0.5465982,1.0,1.5288137
Khdrbs1,0.23325135,1.0,1.5270175
Ccnl2,0.28208593,1.0,1.5252911
Ddx58,0.79831946,1.0,1.5252445
Aff1,0.27378857,1.0,1.5248946
Rps6kc1,0.31656775,1.0,1.5216285
Hivep3,0.19435698,1.0,1.5211387
Mgat4a,0.18212754,1.0,1.519319
Nsmce2,0.267936,1.0,1.516263
Marf1,0.2656903,1.0,1.5140934
Creb1,0.22081442,1.0,1.5103375
Dennd1a,0.20046607,1.0,1.5056719
Arhgef6,0.23828566,1.0,1.4992098
Cxcl9,25.994219,1.0,1.4973202
Clasp2,0.17064391,1.0,1.4960138
Slc30a9,0.25230816,1.0,1.4960138
Pdcd10,0.4825898,1.0,1.4921412
Pold3,0.7211013,1.0,1.4907415
Akr1b10,0.3898929,1.0,1.4895284
Nr3c2,0.28627995,1.0,1.488502
Ms4a6b,0.3715747,1.0,1.4838829
Zfyve1,0.49322662,1.0,1.4829731
Pign,0.2568654,1.0,1.4824133
Gapvd1,0.22985537,1.0,1.4806403
Serpine2,0.23395675,1.0,1.4792639
H2-Q7,3.4313657,1.0,1.477141
Fto,0.22588484,1.0,1.4726619
Pds5b,0.26855516,1.0,1.4696759
Celf2,0.15641686,1.0,1.4691393
Stim1,0.3525532,1.0,1.467413
Vps41,0.22121666,1.0,1.4659433
Slco2b1,0.14671746,1.0,1.4630272
Srsf2,0.23420492,1.0,1.462374
Zfp810,0.41028047,1.0,1.4619074
Gab1,0.24968241,1.0,1.4611843
Cep295,0.4742744,1.0,1.4539291
Shld2,0.37789813,1.0,1.4530659
Anapc2,0.8931188,1.0,1.4523661
Dennd4a,0.13793777,1.0,1.4517828
Slc12a9,0.38338095,1.0,1.4502199
Agmo,0.115038686,1.0,1.4495666
Rassf4,0.4305307,1.0,1.4477704
Ski,0.20549463,1.0,1.4471638
Fez2,0.31238845,1.0,1.4454608
Sh3bgrl3,0.40784204,1.0,1.4451809
Mlxipl,0.25422338,1.0,1.4440844
Gpr155,0.25021198,1.0,1.4435712
Rprd2,0.3184995,1.0,1.4424747
Ets1,0.26936343,1.0,1.4414016
Fubp3,0.62024283,1.0,1.4384155
Mon2,0.20342821,1.0,1.4383689
Otud5,0.37811354,1.0,1.4373425
Tnfrsf21,0.26967767,1.0,1.4371325
Nipbl,0.17369014,1.0,1.4366893
Ubr4,0.38449538,1.0,1.4365027
Igtp,1.0253509,1.0,1.4351729
Ybx1,0.4045234,1.0,1.4324201
Mlxip,0.23217717,1.0,1.4324201
Gtf2h2,0.21724735,1.0,1.4324201
Dph6,0.4802518,1.0,1.4291542
C2cd5,0.5621162,1.0,1.4283143
Fndc3a,0.21153809,1.0,1.4277778
Nptn,0.21632236,1.0,1.4269613
Cmip,0.22167142,1.0,1.4244884
Lair1,0.15069383,1.0,1.4234153
Mef2a,0.062988326,1.0,1.4230887
Tlr3,0.37930515,1.0,1.4197994
Spg11,0.39593256,1.0,1.4191462
Crybb1,0.23961002,1.0,1.4188195
Kif5b,0.20783912,1.0,1.4178865
Rubcnl,0.2300412,1.0,1.4178865
Pcnt,0.54795074,1.0,1.4174665
Trappc9,0.26657277,1.0,1.4172099
mt-Atp8,0.5155382,1.0,1.4166734
Usp37,0.35116276,1.0,1.4149938
Nln,0.4959426,1.0,1.4088349
Irgm2,0.6643802,1.0,1.407202
Zfhx3,0.06058346,1.0,1.405429
Ccni,0.23555923,1.0,1.4036794
Agps,0.18946147,1.0,1.40088
Prkn,0.14049612,1.0,1.3990602
Dnajc13,0.210699,1.0,1.3965641
