gene,scores,logFC,pvals,padj
Mdn1,5.688932,1.0149249,1.2783627373299673e-08,9.468827534651062e-07
Xrn1,5.6681623,0.5918112,1.4433711188980671e-08,1.0642795712552799e-06
Lnpep,5.667533,0.5131968,1.4486832321659179e-08,1.0642795712552799e-06
Psme4,5.6646323,0.53437066,1.4734031949928207e-08,1.0780400043364137e-06
Pou2f2,5.660832,0.5237126,1.50640899984685e-08,1.0977269468924475e-06
Abr,5.6557126,0.6545217,1.552009874941461e-08,1.126396199156103e-06
Mpeg1,5.654528,0.4972566,1.562748250591934e-08,1.1296347695744666e-06
Pml,5.652879,1.5429947,1.5778206954930218e-08,1.1359677879271559e-06
Ttc39b,5.638623,0.7716603,1.7141522562168e-08,1.2292042414201667e-06
Sbno2,5.6365695,1.0263311,1.7347114533207177e-08,1.2390107717587142e-06
Nfxl1,5.6296287,0.820684,1.805979938683292e-08,1.2848155302909316e-06
Susd6,5.6243367,0.61238205,1.8622185716939932e-08,1.3167188152703075e-06
Atp2a2,5.6056957,0.65440995,2.0741982265380477e-08,1.4583396046663407e-06
Tbc1d1,5.600839,1.2141811,2.1331687849131317e-08,1.493965173527294e-06
Parp10,5.586118,1.6829065,2.3220148004036102e-08,1.6199203252893247e-06
Wwox,5.5783153,0.57385004,2.4285912792090157e-08,1.6877302870456784e-06
Nup98,5.5707,0.621329,2.537178544033625e-08,1.7564106390023543e-06
Prkcb,5.5587525,0.5251152,2.7170984797496237e-08,1.8737569171269531e-06
Tdrd7,5.535689,0.91001546,3.1000704565705386e-08,2.1297010743440123e-06
Spint1,5.517535,1.2287726,3.4378704752896e-08,2.3527844366820348e-06
Lap3,5.508526,1.2066267,3.618511028709565e-08,2.467029545672101e-06
Arhgap24,5.5010157,0.8753257,3.77610040943508e-08,2.564755896959321e-06
Cd47,5.4956636,0.65533894,3.89243485368359e-08,2.63383214028011e-06
Icam1,5.475014,1.0163212,4.374769790259425e-08,2.94911915561346e-06
Vti1a,5.467346,0.50626665,4.568231640293765e-08,3.0680448243898313e-06
Jak2,5.4624443,0.7384342,4.6962299262041726e-08,3.1422841056412232e-06
Msn,5.455631,0.5520089,4.879924718755265e-08,3.2531024078842967e-06
Eif3a,5.452708,0.63249576,4.960855636065342e-08,3.2948502064036934e-06
Ntpcr,5.450856,0.76743174,5.012783169077509e-08,3.3170986860377235e-06
Sdc3,5.403793,2.1726456,6.524626131989555e-08,4.301712298523078e-06
Fus,5.403036,0.48452052,6.552233928487253e-08,4.3041481196657685e-06
Exoc6,5.395908,0.5714095,6.817795375560051e-08,4.462309053262013e-06
Ino80,5.388225,0.65507233,7.11569229913015e-08,4.639686686999372e-06
Hsp90ab1,5.387603,0.5431745,7.140358977158875e-08,4.639686686999372e-06
Mia2,5.3793955,0.5513014,7.47363701249863e-08,4.838776711797224e-06
Wdr43,5.373077,0.8956738,7.740430892248402e-08,4.993548947296738e-06
Efhd2,5.368685,0.57992476,7.931299062728111e-08,5.098408993930117e-06
Iqsec2,5.367313,0.7774669,7.991832973863278e-08,5.119039206283457e-06
Tnfaip8,5.3576965,0.79918885,8.428974062017928e-08,5.379897310009244e-06
Gm47283,5.3558373,1.0852104,8.516101989069814e-08,5.39745333844316e-06
Hltf,5.35583,0.55718875,8.516455070380896e-08,5.39745333844316e-06
Nup153,5.3516026,0.6531711,8.717867839853828e-08,5.505715903492247e-06
Ripor2,5.350673,1.4456233,8.76276456452937e-08,5.51472025863511e-06
Hacd2,5.345486,0.9901257,9.01745756396008e-08,5.6552341008263926e-06
Sp140,5.3429756,1.1961342,9.143315838056916e-08,5.714254922541196e-06
Gab2,5.3372717,0.4151945,9.435572434556748e-08,5.876500631473595e-06
Ddx58,5.321576,1.255592,1.0287204322008856e-07,6.384806572132324e-06
Xpo6,5.317086,0.796807,1.0544200877117487e-07,6.521823765884456e-06
Abcc5,5.3098307,0.5771586,1.0972701071469037e-07,6.7636180337455885e-06
Rapgef5,5.299255,0.4767802,1.1627621360693874e-07,7.142851770345701e-06
Apc,5.2943377,0.51194024,1.1944837271299371e-07,7.31275938932372e-06
Smchd1,5.292044,0.51055545,1.209565553299323e-07,7.3799899640117e-06
Ambra1,5.29137,0.51444954,1.21403633851244e-07,7.382243262461286e-06
Bcl2l1,5.2899833,0.671209,1.2232765524633423e-07,7.413385410029528e-06
Taf15,5.2879143,0.5189108,1.2371885535670132e-07,7.472535830755929e-06
Slc12a9,5.284189,0.8542872,1.26262719874969e-07,7.600677909797883e-06
Dennd1b,5.2795796,0.54517686,1.2948067285039852e-07,7.768408768781076e-06
Tle4,5.2737255,0.5471584,1.3368171560448497e-07,7.993811292907393e-06
Myo9a,5.2589674,0.48407337,1.44866695767436e-07,8.60967380032912e-06
Tlr3,5.2588773,0.8629264,1.4493756105893236e-07,8.60967380032912e-06
Gm40645,5.244531,0.7572531,1.5668024547175313e-07,9.27660440212528e-06
Sgk3,5.237688,0.561651,1.6260076183771566e-07,9.595577417432931e-06
Vav1,5.216581,0.53928876,1.8225602154919434e-07,1.0720346836156696e-05
March1,5.215629,0.46165314,1.8319455512543499e-07,1.0740452109780795e-05
Baz1a,5.214542,0.57018423,1.8427182175830766e-07,1.0768534155284998e-05
Naa15,5.199679,0.64534825,1.9963321353614573e-07,1.1628473172935556e-05
Exoc4,5.184253,0.4482477,2.1688200417844402e-07,1.2592449010347787e-05
Tapbp,5.1834364,0.7869318,2.17834638300643e-07,1.2607092137534638e-05
Lcor,5.180498,0.503983,2.2129415726010493e-07,1.2766261335014836e-05
Tbc1d14,5.16532,0.57679105,2.400279449683081e-07,1.3802757129343701e-05
Psme2,5.1529675,1.0625916,2.563962815048934e-07,1.4697059461167442e-05
Cpq,5.141305,1.1434942,2.728370348222587e-07,1.5589821554812173e-05
Gcnt2,5.1172147,1.2332016,3.1008068087862226e-07,1.7606126735439503e-05
Fgfr1op,5.1105886,0.94448763,3.2115643458672075e-07,1.817765618278738e-05
Ifi30,5.107156,1.0934896,3.2704400847367245e-07,1.8452868678738654e-05
Irf2,5.1051397,0.48346475,3.305504225863133e-07,1.859242830040954e-05
Mb21d2,5.1014295,2.3515878,3.370978119137009e-07,1.8901630892943e-05
Pcca,5.1000876,0.6309269,3.3949613400097387e-07,1.8976990421998534e-05
Csf1,5.097464,2.257184,3.442332685719267e-07,1.9182212387077737e-05
