"","DSP-1001660019915-A-A02.dcc","DSP-1001660019915-A-A03.dcc","DSP-1001660019915-A-A04.dcc","DSP-1001660019915-A-A05.dcc","DSP-1001660019915-A-A06.dcc","DSP-1001660019915-A-A07.dcc","DSP-1001660019915-A-A08.dcc","DSP-1001660019915-A-A09.dcc","DSP-1001660019915-A-A10.dcc","DSP-1001660019915-A-A11.dcc","DSP-1001660019915-A-A12.dcc","DSP-1001660019915-A-B01.dcc","DSP-1001660019915-A-B02.dcc","DSP-1001660019915-A-B03.dcc","DSP-1001660019915-A-B04.dcc","DSP-1001660019915-A-B05.dcc","DSP-1001660019915-A-B06.dcc","DSP-1001660019915-A-B07.dcc","DSP-1001660019915-A-B08.dcc","DSP-1001660019915-A-B09.dcc","DSP-1001660019915-A-B10.dcc","DSP-1001660019915-A-B11.dcc","DSP-1001660019915-A-B12.dcc","DSP-1001660019915-A-C01.dcc","DSP-1001660019915-A-C02.dcc","DSP-1001660019915-A-C03.dcc","DSP-1001660019915-A-C04.dcc","DSP-1001660019915-A-C05.dcc","DSP-1001660019915-A-C07.dcc","DSP-1001660019915-A-C08.dcc","DSP-1001660019915-A-C09.dcc","DSP-1001660019915-A-C10.dcc","DSP-1001660019915-A-C11.dcc","DSP-1001660019915-A-C12.dcc","DSP-1001660019915-A-D02.dcc","DSP-1001660019915-A-D03.dcc","DSP-1001660019915-A-D04.dcc","DSP-1001660019915-A-D05.dcc","DSP-1001660019915-A-D06.dcc","DSP-1001660019915-A-D07.dcc","DSP-1001660019915-A-D08.dcc","DSP-1001660019915-A-D11.dcc","DSP-1001660019915-A-D12.dcc"
"Arpc5l",1.02945272238578,0.274101955536214,0.821385264804798,-0.114201731958037,-0.661485041226621,0.575293695005462,-1.59707203798946,0.821385264804798,0.274101955536214,-0.502505419452287,0.186990007511212,-6.89836211291265e-05,2,1.36866857407338,0.186990007511212,0.575293695005462,0.575293695005462,1.02945272238578,0.980364886579132,0.186990007511212,0.980364886579132,1.12257700427405,0.252845347397279,0.186990007511212,-1.59707203798946,-1.98537572548371,-0.502505419452287,-1.04978872872087,0.575293695005462,-0.502505419452287,0.274101955536214,0.821385264804798,0.433081577310548,0.980364886579132,-1.59707203798946,-0.502505419452287,-1.98537572548371,-1.35098046819012,0.186990007511212,-1.04978872872087,-1.59707203798946,0.821385264804798,-1.04978872872087
"B2m",1.68617163419961,1.65258306081125,1.18327407188239,1.72604935119681,1.16648211019333,1.07602886783246,-0.0168716391410636,-0.716816351442413,-0.352278188285926,-0.222168886157523,0.0671813321109076,-1.02747040382772,1.88838626110889,1.82544969772318,1.45583232846176,1.19967997705939,1.31889402259207,1.68617163419961,-0.138115914905552,-0.557575435302385,-0.317460285661339,-0.222168886157523,-0.632763380190441,-0.222168886157523,-0.511519104425953,-1.2114638167273,-0.922113598458872,-0.716816351442413,-1.50081403499573,-0.922113598458872,-0.511519104425953,-0.716816351442413,-0.427466133173982,-0.427466133173982,-1.00616656971084,-1.2114638167273,-0.557575435302385,-0.58670704931401,-0.716816351442413,-0.427466133173982,-0.352278188285926,-0.716816351442413,-0.0629279700174956
"Batf2",1.4886878515983,1.4886878515983,-0.768247061004292,2,0.104854545681667,0.104854545681667,-0.768247061004292,-0.768247061004292,-0.768247061004292,0.615586244912345,-1.13061696845957,0.277675734301043,1.6370496433737,2,1.4886878515983,0.977956152367625,-0.768247061004292,2,-0.257515361773614,-1.13061696845957,0.896662181795851,-0.257515361773614,0.143615122620941,0.253216337457064,-0.768247061004292,-0.257515361773614,-1.13061696845957,-1.13061696845957,-0.768247061004292,-0.257515361773614,-0.768247061004292,-0.257515361773614,-1.13061696845957,-1.13061696845957,-0.768247061004292,0.896662181795851,0.253216337457064,-0.53859129865712,-0.257515361773614,-0.257515361773614,-0.768247061004292,-0.257515361773614,-0.257515361773614
"Bcas2",-0.352737240802413,-0.136669149823873,-1.08580592329407,-0.473593796248035,-0.240841547792017,-0.0392223794065838,0.297702267017579,-0.240841547792017,0.138618330797998,-0.473593796248035,-1.18325269371136,-2,-0.787108657643865,-0.675212964633469,-1.52017734013552,-0.473593796248035,-0.136669149823873,-0.604972351686683,-0.473593796248035,-0.214116940601036,0.424354994220691,-0.675212964633469,-1.83369220153135,0.0743575311667776,1.14266664251963,1.15341331342872,0.909914394063613,0.83246660328645,0.909914394063613,0.00723977535935129,-0.473593796248035,-0.295753086043454,-0.0630008375874357,0.316459041002579,1.82511938251245,1.44467873033248,1.79741400173152,1.15982479180406,1.61957329152694,1.85905116753381,0.371370579254017,-0.675212964633469,-0.295753086043454
"Bcat1",0.11235627960946,-1.77620559272384,0.11235627960946,-1.77620559272384,-0.279555718753831,0.11235627960946,-0.279555718753831,-1.77620559272384,0.874726141228766,-0.27955571875383,-1.22383665492048,-1.07231292404017,-1.22383665492048,-2,-0.671467717117122,0.664725217412817,-1.77620559272384,0.664725217412817,0.0244348440647534,0.482814142865475,0.272813219049526,-0.671467717117122,-0.790004135969093,0.664725217412817,0.11235627960946,0.664725217412817,0.272813219049526,-0.27955571875383,-0.831924656557188,0.272813219049526,-0.279555718753831,0.272813219049526,0.825182156852883,0.968715780231401,0.11235627960946,1.42709507903212,0.825182156852883,0.794567173545619,0.664725217412817,1.21709415521617,1.05663721577611,1.91299671639805,1.76946309301953
"C1qb",1.13406180846137,1.4606198621029,-0.493778819171677,1.13406180846137,0.69684966967951,1.4606198621029,0.933758362629594,1.13406180846137,-0.493778819171677,-0.867593002026343,-0.340731502553041,-0.219203710942759,1.34755724922878,0.760247625606702,0.933758362629594,0.933758362629594,1.13406180846137,1.4606198621029,0.0330826803016256,0.323035486824843,1.08680567924823,-1.76826868435431,0.0330826803016256,0.0330826803016256,-0.493778819171677,-0.867593002026343,-1.76826868435431,0.760247625606702,-0.493778819171677,0.0330826803016256,0.406896863156292,-0.340731502553041,-0.867593002026343,0.0330826803016256,0.406896863156292,-0.867593002026343,-1.76826868435431,-2,0.0330826803016256,-1.76826868435431,-0.493778819171677,-0.867593002026343,-0.867593002026343
"C1ra",1.02104466429157,2,1.25420688880342,1.25420688880342,1.45134274070467,-0.150755253941977,-0.150755253941977,-1.03718767244156,-1.03718767244156,-1.40509036669532,-1.40509036669532,-0.0254528466261891,1.77273661304924,1.53957438853739,1.25420688880342,-0.150755253941977,1.25420688880342,1.02104466429157,0.88630419454966,-0.518657948195741,-1.40509036669532,-0.518657948195741,-0.233290448461773,-1.40509036669532,-1.03718767244156,-0.518657948195741,-0.000128223949922697,-0.000128223949922697,-1.03718767244156,-0.000128223949922697,-0.150755253941977,-0.518657948195741,-0.000128223949922697,-0.000128223949922697,1.25420688880342,-0.000128223949922697,-0.000128223949922697,-1.69045786642929,0.367774470303842,-1.40509036669532,0.367774470303841,-0.518657948195741,-0.518657948195741
"C3",2,0.9717849963372,-0.709799235476355,2,-0.709799235476355,-0.709799235476355,-0.709799235476355,-0.709799235476355,-0.709799235476355,-1.15013805363835,0.531446178175205,1.01615459371743,1.3133383188253,1.82835750564982,-0.0891765286505746,0.9717849963372,1.41212381449919,2,-0.0891765286505746,0.9717849963372,-1.15013805363835,0.531446178175205,-0.293565544325728,-0.0891765286505746,-0.709799235476355,-1.15013805363835,-0.0891765286505746,-1.15013805363835,-0.709799235476355,-0.0891765286505746,-0.709799235476355,-0.0891765286505746,-0.0891765286505746,-1.15013805363835,-0.709799235476355,0.531446178175205,0.9717849963372,-1.49169137612645,-0.0891765286505746,-1.15013805363835,-0.709799235476355,-0.0891765286505746,-0.0891765286505746
"C4b",1.23408905258858,0.776430635642532,1.87912236287505,0.131397325356067,0.131397325356067,-0.971294401876451,-0.971294401876451,0.131397325356067,-0.971294401876451,-1.4289528188225,-1.4289528188225,0.467557950416388,1.421463945929,-0.326261091589986,1.87912236287505,1.5890764995846,1.87912236287505,1.87912236287505,0.776430635642532,-1.4289528188225,-0.326261091589986,-1.4289528188225,0.446107991029273,-0.326261091589986,-0.971294401876451,1.13141808263855,-0.326261091589986,-0.326261091589986,0.131397325356067,0.776430635642532,0.131397325356067,-1.4289528188225,-0.326261091589986,-0.326261091589986,-0.971294401876451,-0.326261091589986,0.776430635642532,-0.681248538586005,-0.326261091589986,-0.326261091589986,-0.971294401876451,-0.326261091589986,-0.326261091589986
"Caln1",-1.82645551543552,-1.82645551543552,-0.848492210842479,-0.848492210842479,0.919034581305469,0.701542954018829,-0.848492210842479,1.42226826186098,0.919034581305469,1.15085021801589,0.5131431369807,-0.0471219363151018,-0.276420350574209,-1.25438365516725,-0.276420350574209,0.701542954018829,0.129471093750559,-0.848492210842479,0.5131431369807,0.29565150969406,0.86772336996233,1.01637681753622,0.172886913422851,1.38654729544031,-0.848492210842479,-2,-0.276420350574209,0.29565150969406,0.129471093750559,-1.25438365516725,-0.27642035057421,0.701542954018829,1.01637681753622,0.29565150969406,0.129471093750559,-2,-0.682311794898979,1.74834443832462,-0.276420350574209,0.29565150969406,0.444304957267946,1.49110644157374,-0.276420350574209
