"ROI","CellState","Score","antigen"
"DSP-1001660019915-A-D12.dcc","Primed Microglia",-0.360433329148886,"negative"
"DSP-1001660019915-A-A02.dcc","Mitochondrial-Activated Microglia",0.445381912233178,"positive"
"DSP-1001660019915-A-A03.dcc","Mitochondrial-Activated Microglia",0.685487814747247,"positive"
"DSP-1001660019915-A-A04.dcc","Mitochondrial-Activated Microglia",-0.17831429827743,"positive"
"DSP-1001660019915-A-A05.dcc","Mitochondrial-Activated Microglia",0.858326773262217,"positive"
"DSP-1001660019915-A-A06.dcc","Mitochondrial-Activated Microglia",0.450368590229778,"negative"
"DSP-1001660019915-A-A07.dcc","Mitochondrial-Activated Microglia",0.53023758883131,"negative"
"DSP-1001660019915-A-A08.dcc","Mitochondrial-Activated Microglia",0.42169813607551,"negative"
"DSP-1001660019915-A-A09.dcc","Mitochondrial-Activated Microglia",-0.17318595170546,"negative"
"DSP-1001660019915-A-A10.dcc","Mitochondrial-Activated Microglia",-0.000330987743295231,"negative"
"DSP-1001660019915-A-A11.dcc","Mitochondrial-Activated Microglia",-0.307999626398995,"negative"
"DSP-1001660019915-A-A12.dcc","Mitochondrial-Activated Microglia",-0.736762049915383,"negative"
"DSP-1001660019915-A-B01.dcc","Mitochondrial-Activated Microglia",-0.17974380409423,"negative"
"DSP-1001660019915-A-B02.dcc","Mitochondrial-Activated Microglia",0.572908234373708,"positive"
"DSP-1001660019915-A-B03.dcc","Mitochondrial-Activated Microglia",0.525374285695363,"positive"
"DSP-1001660019915-A-B04.dcc","Mitochondrial-Activated Microglia",0.773540528778539,"negative"
"DSP-1001660019915-A-B05.dcc","Mitochondrial-Activated Microglia",0.831227747753144,"negative"
"DSP-1001660019915-A-B06.dcc","Mitochondrial-Activated Microglia",0.326208630256766,"positive"
"DSP-1001660019915-A-B07.dcc","Mitochondrial-Activated Microglia",0.883711487984894,"positive"
"DSP-1001660019915-A-B08.dcc","Mitochondrial-Activated Microglia",0.0634143469715939,"negative"
"DSP-1001660019915-A-B09.dcc","Mitochondrial-Activated Microglia",0.221478338692716,"negative"
"DSP-1001660019915-A-B10.dcc","Mitochondrial-Activated Microglia",0.192652060868741,"negative"
"DSP-1001660019915-A-B11.dcc","Mitochondrial-Activated Microglia",0.221153744483413,"negative"
"DSP-1001660019915-A-B12.dcc","Mitochondrial-Activated Microglia",0.0386007849659539,"negative"
"DSP-1001660019915-A-C01.dcc","Mitochondrial-Activated Microglia",-0.347347837872363,"negative"
"DSP-1001660019915-A-C02.dcc","Mitochondrial-Activated Microglia",0.246813206774048,"negative"
"DSP-1001660019915-A-C03.dcc","Mitochondrial-Activated Microglia",-0.66959968826082,"negative"
"DSP-1001660019915-A-C04.dcc","Mitochondrial-Activated Microglia",-1.11792624814874,"negative"
"DSP-1001660019915-A-C05.dcc","Mitochondrial-Activated Microglia",-0.356482823510925,"negative"
"DSP-1001660019915-A-C07.dcc","Mitochondrial-Activated Microglia",-0.158197556374264,"negative"
"DSP-1001660019915-A-C08.dcc","Mitochondrial-Activated Microglia",-0.0230387048183972,"negative"
"DSP-1001660019915-A-C09.dcc","Mitochondrial-Activated Microglia",-0.0716271816227124,"negative"
"DSP-1001660019915-A-C10.dcc","Mitochondrial-Activated Microglia",-0.259745130457232,"negative"
"DSP-1001660019915-A-C11.dcc","Mitochondrial-Activated Microglia",-0.223030092668121,"negative"
"DSP-1001660019915-A-C12.dcc","Mitochondrial-Activated Microglia",0.35665871415026,"negative"
"DSP-1001660019915-A-D02.dcc","Mitochondrial-Activated Microglia",-0.294394396981189,"negative"
"DSP-1001660019915-A-D03.dcc","Mitochondrial-Activated Microglia",-0.645949976598031,"negative"
"DSP-1001660019915-A-D04.dcc","Mitochondrial-Activated Microglia",-0.734682844650403,"negative"
"DSP-1001660019915-A-D05.dcc","Mitochondrial-Activated Microglia",0.0611981369927422,"negative"
"DSP-1001660019915-A-D06.dcc","Mitochondrial-Activated Microglia",-0.806029991098601,"negative"
"DSP-1001660019915-A-D07.dcc","Mitochondrial-Activated Microglia",-0.539101302490232,"negative"
"DSP-1001660019915-A-D08.dcc","Mitochondrial-Activated Microglia",-0.327199371484549,"negative"
"DSP-1001660019915-A-D11.dcc","Mitochondrial-Activated Microglia",-0.718482765487281,"negative"
"DSP-1001660019915-A-D12.dcc","Mitochondrial-Activated Microglia",0.162731566537529,"negative"
"DSP-1001660019915-A-A02.dcc","IEG-High Microglia",0.310136637608976,"positive"
"DSP-1001660019915-A-A03.dcc","IEG-High Microglia",0.238758289007023,"positive"
"DSP-1001660019915-A-A04.dcc","IEG-High Microglia",-0.239737306725663,"positive"
"DSP-1001660019915-A-A05.dcc","IEG-High Microglia",0.519767791115602,"positive"
"DSP-1001660019915-A-A06.dcc","IEG-High Microglia",-0.0493970206952779,"negative"
"DSP-1001660019915-A-A07.dcc","IEG-High Microglia",0.278949586078216,"negative"
"DSP-1001660019915-A-A08.dcc","IEG-High Microglia",0.00327369414969611,"negative"
"DSP-1001660019915-A-A09.dcc","IEG-High Microglia",-0.0323195635179158,"negative"
"DSP-1001660019915-A-A10.dcc","IEG-High Microglia",0.28681084629748,"negative"
"DSP-1001660019915-A-A11.dcc","IEG-High Microglia",-0.148054342291713,"negative"
"DSP-1001660019915-A-A12.dcc","IEG-High Microglia",-0.320989871551247,"negative"
"DSP-1001660019915-A-B01.dcc","IEG-High Microglia",0.43255036774087,"negative"
"DSP-1001660019915-A-B02.dcc","IEG-High Microglia",0.427737288772084,"positive"
"DSP-1001660019915-A-B03.dcc","IEG-High Microglia",0.185345677470994,"positive"
"DSP-1001660019915-A-B04.dcc","IEG-High Microglia",0.0255676480005267,"negative"
"DSP-1001660019915-A-B05.dcc","IEG-High Microglia",0.0759276877170022,"negative"
"DSP-1001660019915-A-B06.dcc","IEG-High Microglia",0.586997582013314,"positive"
"DSP-1001660019915-A-B07.dcc","IEG-High Microglia",0.43932394077794,"positive"
