"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.69742834437958e-87,1.90849283760949,0.649,0.258,3.05520127704881e-83,"IEG-High Microglia","Hsp90aa1"
6.4311049555391e-43,1.87050069322791,0.333,0.117,1.15753458094748e-38,"IEG-High Microglia","Ccl3"
1.17308643662719e-107,1.82277320431654,0.801,0.361,2.11143827728529e-103,"IEG-High Microglia","Ubc"
7.08706518325349e-81,1.79754291803925,0.68,0.299,1.2756008623338e-76,"IEG-High Microglia","H3f3b"
3.67499107264929e-124,1.71335085475982,0.913,0.445,6.61461643166146e-120,"IEG-High Microglia","Btg2"
3.22763222628801e-96,1.68398092780796,0.736,0.307,5.8094152440958e-92,"IEG-High Microglia","Zfp36"
1.41377297500613e-58,1.65369316675558,0.429,0.146,2.54464997771354e-54,"IEG-High Microglia","Ppp1r10"
1.86035104536386e-36,1.56369965425431,0.245,0.076,3.34844584655041e-32,"IEG-High Microglia","Hmox1"
2.90509228645293e-77,1.5519065157634,0.708,0.315,5.22887560638664e-73,"IEG-High Microglia","Klf6"
2.32357468969536e-74,1.53728907844026,0.643,0.265,4.18220208398268e-70,"IEG-High Microglia","Ier5"
7.82669771188058e-62,1.53574878517393,0.558,0.226,1.40872732116139e-57,"IEG-High Microglia","Ptma"
1.05493151333797e-53,1.52900406275697,0.665,0.343,1.89877123085701e-49,"IEG-High Microglia","Tsc22d2"
8.2921637139222e-11,0.775403611723381,0.709,0.751,1.49250654686886e-06,"Mitochondrial-Activated Microglia","Cmss1"
2.93446715193348e-11,0.553742333134839,0.695,0.719,5.28174742676507e-07,"Mitochondrial-Activated Microglia","Rplp1"
1.56415793797419e-21,0.506374357029313,0.848,0.872,2.81532787255975e-17,"Mitochondrial-Activated Microglia","Tmsb4x"
4.77873315104681e-22,0.454279113674027,0.893,0.914,8.60124179856916e-18,"Mitochondrial-Activated Microglia","Ctsd"
